image_feature,n_associations,max_abs_partial_spearman_rho,mean_abs_partial_spearman_rho,top_k_count,top_k_pathways,top_k_families,negative_control_rows,negative_control_fail95,negative_control_fail99,negative_control_pathways,sample_role,top_k,candidate_generic_axis
embedding__plip_039,10,0.2900097427183454,0.14681278471639767,3,immune_exclusion;luminal_estrogen_response;myofibroblast_caf_activation,endocrine_epithelial_identity;immune_ecology;stromal_remodeling_caf_ecm,2,0,1,luminal_estrogen_response;myofibroblast_caf_activation,breast_discovery,40,False
embedding__plip_035,10,0.2883179306795509,0.1400158677224549,3,immune_exclusion;myofibroblast_caf_activation;oxidative_phosphorylation,immune_ecology;metabolic_stress;stromal_remodeling_caf_ecm,1,0,1,myofibroblast_caf_activation,breast_discovery,40,False
embedding__plip_045,10,0.2854522948942853,0.12534224957202011,3,collagen_ecm_organization;immune_exclusion;luminal_estrogen_response,endocrine_epithelial_identity;immune_ecology;stromal_remodeling_caf_ecm,1,0,1,immune_exclusion,breast_discovery,40,False
embedding__plip_044,10,0.239362081225494,0.13765821619522786,3,immune_exclusion;luminal_estrogen_response;myofibroblast_caf_activation,endocrine_epithelial_identity;immune_ecology;stromal_remodeling_caf_ecm,1,0,0,myofibroblast_caf_activation,breast_discovery,40,False
embedding__plip_025,10,0.2033847621681261,0.11686508641146373,3,collagen_ecm_organization;luminal_estrogen_response;myofibroblast_caf_activation,endocrine_epithelial_identity;stromal_remodeling_caf_ecm,0,0,0,,breast_discovery,40,False
embedding__plip_011,10,0.2486132977214138,0.1155551221248086,2,epithelial_identity;luminal_estrogen_response,endocrine_epithelial_identity,1,0,0,luminal_estrogen_response,breast_discovery,40,False
embedding__plip_063,10,0.2447220278441818,0.113265241235281,2,emt_invasive_front;luminal_estrogen_response,endocrine_epithelial_identity;invasion_boundary_emt,1,0,1,luminal_estrogen_response,breast_discovery,40,False
embedding__plip_038,10,0.2390325990784784,0.11490066620000397,2,collagen_ecm_organization;immune_exclusion,immune_ecology;stromal_remodeling_caf_ecm,0,0,0,,breast_discovery,40,False
embedding__plip_026,10,0.2262893534152691,0.11866660752831135,2,immune_exclusion;oxidative_phosphorylation,immune_ecology;metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_049,10,0.2238381534645378,0.11934533218370236,2,immune_exclusion;myofibroblast_caf_activation,immune_ecology;stromal_remodeling_caf_ecm,0,0,0,,breast_discovery,40,False
embedding__plip_014,10,0.1895328452720278,0.08441682142201046,2,luminal_estrogen_response;oxidative_phosphorylation,endocrine_epithelial_identity;metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_040,10,0.2667783397826503,0.10008435511539174,1,luminal_estrogen_response,endocrine_epithelial_identity,1,0,0,luminal_estrogen_response,breast_discovery,40,False
embedding__plip_009,10,0.2576724012334651,0.06651289140133008,1,unfolded_protein_response,metabolic_stress,1,0,0,unfolded_protein_response,breast_discovery,40,False
embedding__plip_036,10,0.2494740579570501,0.11110925604759196,1,luminal_estrogen_response,endocrine_epithelial_identity,1,0,0,luminal_estrogen_response,breast_discovery,40,False
embedding__plip_052,10,0.2335393724661771,0.10021552132465475,1,oxidative_phosphorylation,metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_022,10,0.23117168347363,0.069571768655699,1,oxidative_phosphorylation,metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_061,10,0.2175050711043657,0.09405132967385449,1,unfolded_protein_response,metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_053,10,0.2094939105961832,0.09074379345520493,1,myofibroblast_caf_activation,stromal_remodeling_caf_ecm,0,0,0,,breast_discovery,40,False
embedding__plip_058,10,0.1964608898046139,0.07582991037215377,1,luminal_estrogen_response,endocrine_epithelial_identity,0,0,0,,breast_discovery,40,False
embedding__plip_019,10,0.1868766907124746,0.07437608158298471,1,oxidative_phosphorylation,metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_023,10,0.1861582632204115,0.09648151098312212,1,myofibroblast_caf_activation,stromal_remodeling_caf_ecm,0,0,0,,breast_discovery,40,False
embedding__plip_048,10,0.1851967943148918,0.09677688689830333,1,myofibroblast_caf_activation,stromal_remodeling_caf_ecm,0,0,0,,breast_discovery,40,False
embedding__plip_028,10,0.1810960906823274,0.07376933907219925,1,oxidative_phosphorylation,metabolic_stress,0,0,0,,breast_discovery,40,False
embedding__plip_042,10,0.1810621046797413,0.07972581293932339,1,collagen_ecm_organization,stromal_remodeling_caf_ecm,0,0,0,,breast_discovery,40,False
embedding__plip_057,10,0.1806048569494105,0.07852591149554813,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_032,10,0.180541200657558,0.07052119974664581,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_008,10,0.1714361972422023,0.08411107280135581,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_029,10,0.1702942580232103,0.058205971589701345,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_059,10,0.1690472037553886,0.06249283449599678,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_047,10,0.1671010021811069,0.048417208555664254,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_051,10,0.1669856777071166,0.07275197495153653,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_027,10,0.1666707452925935,0.04208242100692364,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_002,10,0.1662745933576865,0.10484727119182687,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_031,10,0.1657632098858494,0.059607137717853455,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_015,10,0.165306326525805,0.06022768354994964,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_055,10,0.1644265978917974,0.06566042699276001,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_013,10,0.1627488835199164,0.09465434066793267,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_004,10,0.1574955624658737,0.10679982049857069,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_033,10,0.1572409616753907,0.091747880161705,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_005,10,0.1550059610669721,0.05732268147648066,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_012,10,0.1541047964756621,0.07632959414364923,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_016,10,0.1527047383093039,0.06282322602481925,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_000,10,0.1523473356840818,0.04588394271393684,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_018,10,0.1491998807749537,0.06355930943037551,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_017,10,0.1491433050629354,0.05911801543338012,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_037,10,0.1464172824776499,0.09113923178773616,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_060,10,0.1456903178225189,0.07846838892225536,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_046,10,0.1440307000198263,0.0563783442059901,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_010,10,0.1435284276722946,0.07787869026473912,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_034,10,0.1433639402724213,0.07838169024230136,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_001,10,0.1432281800850634,0.06459744876451023,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_054,10,0.1427861160170312,0.07572303484130635,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_056,10,0.1420390485162261,0.06819659041395816,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_062,10,0.1363592191775488,0.03301429250177611,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_030,10,0.1328480034072285,0.05904319374427084,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_021,10,0.1263577302150942,0.05390915134502742,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_007,10,0.1209621763260336,0.04086267158216337,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_043,10,0.1158788527283579,0.053877246202296544,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_024,10,0.110620470955235,0.04494606464745019,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_020,10,0.1103612062690691,0.04535194548393201,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_041,10,0.1088485732497733,0.05157656586574018,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_006,10,0.1088316409259139,0.05273923256908114,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_003,10,0.1010362877526054,0.04089800160457876,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_050,10,0.0965043998038024,0.03904891446086342,0,,,0,0,0,,breast_discovery,40,False
embedding__plip_041,10,0.2949184068411153,0.12949042361857063,3,collagen_ecm_organization;immune_exclusion;myofibroblast_caf_activation,immune_ecology;stromal_remodeling_caf_ecm,2,0,0,collagen_ecm_organization;myofibroblast_caf_activation,cervical_validation,40,False
