pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_039,0.2900097427183454,0.2900097427183454,0.0006451065377891904,135,"structure,x,y,boundary_distance,log_total_counts",0.16874941811725006,1,0.030303030303030304,0.16205199484654045,0.1967995749581838,True,True,0.06060606060606061,0.24345088092734712,0.29828653659457993,True,False
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_035,0.2883179306795509,0.2883179306795509,0.0006961060545412545,135,"structure,x,y,boundary_distance,log_total_counts",0.16874941811725006,2,0.030303030303030304,0.1463686538423634,0.16753249340074203,True,True,0.030303030303030304,0.2050095377920505,0.22250262965846523,True,True
immune_exclusion,immune_ecology,embedding__plip_045,-0.2854522948942853,0.2854522948942853,0.0007910128974246096,135,"structure,x,y,boundary_distance,log_total_counts",0.16874941811725006,3,0.030303030303030304,0.22491247635252504,0.2568041601330399,True,True,0.06060606060606061,0.21226912179449164,0.27840370082244165,True,True
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_040,-0.2667783397826503,0.2667783397826503,0.0017615096243080515,135,"structure,x,y,boundary_distance,log_total_counts",0.28184153988928823,4,0.06060606060606061,0.2075065107678462,0.25189520579765434,True,True,0.09090909090909091,0.2687738443133206,0.2852440979713425,False,False
unfolded_protein_response,metabolic_stress,embedding__plip_009,-0.2576724012334651,0.2576724012334651,0.0025515362743397728,135,"structure,x,y,boundary_distance,log_total_counts",0.29022106975406187,5,0.030303030303030304,0.19053662386076314,0.23226854630935154,True,True,0.06060606060606061,0.22738801716775456,0.25829245703691267,True,False
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_036,0.24947405795705013,0.24947405795705013,0.003523346035501856,135,"structure,x,y,boundary_distance,log_total_counts",0.29022106975406187,6,0.030303030303030304,0.15429189667069484,0.18510837988937484,True,True,0.030303030303030304,0.19725728751942456,0.1981961654355153,True,True
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_011,-0.24861329772141383,0.24861329772141383,0.003642618917566763,135,"structure,x,y,boundary_distance,log_total_counts",0.29022106975406187,7,0.06060606060606061,0.18845091565494473,0.2622253082985518,True,False,0.030303030303030304,0.17774678505276323,0.18856065580965067,True,True
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_063,0.24472202784418182,0.24472202784418182,0.004228373219207274,135,"structure,x,y,boundary_distance,log_total_counts",0.29022106975406187,8,0.030303030303030304,0.1379784005040418,0.19650606726886846,True,True,0.030303030303030304,0.16352696902934716,0.20031966838695198,True,True
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_039,-0.24276274916883295,0.24276274916883295,0.004554155650221665,135,"structure,x,y,boundary_distance,log_total_counts",0.29022106975406187,9,0.12121212121212122,0.28352773634997064,0.3186305832390934,False,False,0.09090909090909091,0.22917795510524877,0.25197082444946034,True,False
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_044,-0.23936208122549407,0.23936208122549407,0.005173305257111466,135,"structure,x,y,boundary_distance,log_total_counts",0.29022106975406187,10,0.030303030303030304,0.19723642069171998,0.22485147458902072,True,True,0.09090909090909091,0.2501943104840909,0.3140435629243242,False,False
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_038,0.23903259907847843,0.23903259907847843,0.005237117162132323,135,"structure,x,y,boundary_distance,log_total_counts",0.29022106975406187,11,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_045,-0.2380001871149221,0.2380001871149221,0.00544164505788866,135,"structure,x,y,boundary_distance,log_total_counts",0.29022106975406187,12,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_052,0.23353937246617712,0.23353937246617712,0.00640967625451331,135,"structure,x,y,boundary_distance,log_total_counts",0.29795604380567126,13,,,,,,,,,,
immune_exclusion,immune_ecology,embedding__plip_039,-0.2314375705760073,0.2314375705760073,0.006916726496518629,135,"structure,x,y,boundary_distance,log_total_counts",0.29795604380567126,14,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_022,-0.23117168347363007,0.23117168347363007,0.00698334477669542,135,"structure,x,y,boundary_distance,log_total_counts",0.29795604380567126,15,,,,,,,,,,
emt_invasive_front,invasion_boundary_emt,embedding__plip_063,-0.2276631362091151,0.2276631362091151,0.007917312621058195,135,"structure,x,y,boundary_distance,log_total_counts",0.31292720731564383,16,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_026,0.2262893534152691,0.2262893534152691,0.00831212894432179,135,"structure,x,y,boundary_distance,log_total_counts",0.31292720731564383,17,,,,,,,,,,
immune_exclusion,immune_ecology,embedding__plip_049,-0.22383815346453784,0.22383815346453784,0.009060009280295019,135,"structure,x,y,boundary_distance,log_total_counts",0.3221336632993784,18,,,,,,,,,,
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_044,0.22171135494657424,0.22171135494657424,0.009756404614944196,135,"structure,x,y,boundary_distance,log_total_counts",0.32796577956660977,19,,,,,,,,,,
immune_exclusion,immune_ecology,embedding__plip_026,-0.21951581235564294,0.21951581235564294,0.010524369219616813,135,"structure,x,y,boundary_distance,log_total_counts",0.32796577956660977,20,,,,,,,,,,
immune_exclusion,immune_ecology,embedding__plip_035,0.21851614672219186,0.21851614672219186,0.010891308576430217,135,"structure,x,y,boundary_distance,log_total_counts",0.32796577956660977,21,,,,,,,,,,
unfolded_protein_response,metabolic_stress,embedding__plip_061,0.21750507110436576,0.21750507110436576,0.01127382367260221,135,"structure,x,y,boundary_distance,log_total_counts",0.32796577956660977,22,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_053,-0.2094939105961832,0.2094939105961832,0.014744751986488815,135,"structure,x,y,boundary_distance,log_total_counts",0.41028875092838435,23,,,,,,,,,,
immune_exclusion,immune_ecology,embedding__plip_038,0.20794593325105232,0.20794593325105232,0.015513537744309924,135,"structure,x,y,boundary_distance,log_total_counts",0.41369433984826465,24,,,,,,,,,,
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_025,0.20338476216812615,0.20338476216812615,0.017984986346191407,135,"structure,x,y,boundary_distance,log_total_counts",0.4604156504625,25,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_049,-0.20035351477742439,0.20035351477742439,0.019810024668817792,135,"structure,x,y,boundary_distance,log_total_counts",0.48763137646320714,26,,,,,,,,,,
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_058,-0.1964608898046139,0.1964608898046139,0.022386438080211492,135,"structure,x,y,boundary_distance,log_total_counts",0.5277472594267404,27,,,,,,,,,,
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_045,0.1954666166652964,0.1954666166652964,0.023088942599919893,135,"structure,x,y,boundary_distance,log_total_counts",0.5277472594267404,28,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_035,-0.19238414545524712,0.19238414545524712,0.025388410718798823,135,"structure,x,y,boundary_distance,log_total_counts",0.5296709770538595,29,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_014,-0.18953284527202782,0.18953284527202782,0.027687134034864426,135,"structure,x,y,boundary_distance,log_total_counts",0.5296709770538595,30,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_025,-0.1878173385765382,0.1878173385765382,0.02915391854806666,135,"structure,x,y,boundary_distance,log_total_counts",0.5296709770538595,31,,,,,,,,,,
immune_exclusion,immune_ecology,embedding__plip_044,-0.1873800292106057,0.1873800292106057,0.0295382283092049,135,"structure,x,y,boundary_distance,log_total_counts",0.5296709770538595,32,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_019,-0.18687669071247462,0.18687669071247462,0.02998588924562315,135,"structure,x,y,boundary_distance,log_total_counts",0.5296709770538595,33,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_023,0.1861582632204115,0.1861582632204115,0.030634825628479877,135,"structure,x,y,boundary_distance,log_total_counts",0.5296709770538595,34,,,,,,,,,,
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_014,-0.1853898792070937,0.1853898792070937,0.03134204410803136,135,"structure,x,y,boundary_distance,log_total_counts",0.5296709770538595,35,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_025,-0.1852736306640034,0.1852736306640034,0.03145023570448494,135,"structure,x,y,boundary_distance,log_total_counts",0.5296709770538595,36,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_048,-0.18519679431489183,0.18519679431489183,0.03152192041271734,135,"structure,x,y,boundary_distance,log_total_counts",0.5296709770538595,37,,,,,,,,,,
epithelial_identity,endocrine_epithelial_identity,embedding__plip_011,-0.1840213805943285,0.1840213805943285,0.032635914933968266,135,"structure,x,y,boundary_distance,log_total_counts",0.5296709770538595,38,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_028,-0.1810960906823274,0.1810960906823274,0.035553902823474134,135,"structure,x,y,boundary_distance,log_total_counts",0.5296709770538595,39,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_042,-0.18106210467974135,0.18106210467974135,0.03558905653656905,135,"structure,x,y,boundary_distance,log_total_counts",0.5296709770538595,40,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_057,0.1806048569494105,0.1806048569494105,0.03606487209154397,135,"structure,x,y,boundary_distance,log_total_counts",0.5296709770538595,41,,,,,,,,,,
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_035,-0.1805824829962847,0.1805824829962847,0.036088291551593654,135,"structure,x,y,boundary_distance,log_total_counts",0.5296709770538595,42,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_032,0.18054120065755802,0.18054120065755802,0.036131536607843254,135,"structure,x,y,boundary_distance,log_total_counts",0.5296709770538595,43,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_023,-0.18027174286807568,0.18027174286807568,0.03641487967245284,135,"structure,x,y,boundary_distance,log_total_counts",0.5296709770538595,44,,,,,,,,,,
emt_invasive_front,invasion_boundary_emt,embedding__plip_011,0.17466920017152016,0.17466920017152016,0.04274380298926343,135,"structure,x,y,boundary_distance,log_total_counts",0.6023869417187924,45,,,,,,,,,,
epithelial_identity,endocrine_epithelial_identity,embedding__plip_053,0.1717362131830528,0.1717362131830528,0.046408138561340795,135,"structure,x,y,boundary_distance,log_total_counts",0.6023869417187924,46,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_008,-0.17143619724220233,0.17143619724220233,0.04679727998192813,135,"structure,x,y,boundary_distance,log_total_counts",0.6023869417187924,47,,,,,,,,,,
immune_exclusion,immune_ecology,embedding__plip_025,-0.17059274323970866,0.17059274323970866,0.04790586580428371,135,"structure,x,y,boundary_distance,log_total_counts",0.6023869417187924,48,,,,,,,,,,
immune_exclusion,immune_ecology,embedding__plip_053,-0.1703714552373659,0.1703714552373659,0.048200299856717685,135,"structure,x,y,boundary_distance,log_total_counts",0.6023869417187924,49,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_029,0.17029425802321038,0.17029425802321038,0.04830336733808476,135,"structure,x,y,boundary_distance,log_total_counts",0.6023869417187924,50,,,,,,,,,,
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_059,0.16904720375538868,0.16904720375538868,0.049993849634332066,135,"structure,x,y,boundary_distance,log_total_counts",0.6023869417187924,51,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_047,-0.16710100218110693,0.16710100218110693,0.05272986061050456,135,"structure,x,y,boundary_distance,log_total_counts",0.6023869417187924,52,,,,,,,,,,
immune_exclusion,immune_ecology,embedding__plip_036,-0.16706206232008886,0.16706206232008886,0.052785840952141956,135,"structure,x,y,boundary_distance,log_total_counts",0.6023869417187924,53,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,embedding__plip_051,-0.16698567770711667,0.16698567770711667,0.052895794897221765,135,"structure,x,y,boundary_distance,log_total_counts",0.6023869417187924,54,,,,,,,,,,
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_027,-0.1666707452925935,0.1666707452925935,0.05335113333096704,135,"structure,x,y,boundary_distance,log_total_counts",0.6023869417187924,55,,,,,,,,,,
emt_invasive_front,invasion_boundary_emt,embedding__plip_002,0.1662745933576865,0.1662745933576865,0.05392849287815163,135,"structure,x,y,boundary_distance,log_total_counts",0.6023869417187924,56,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_031,0.16576320988584942,0.16576320988584942,0.05468140747555937,135,"structure,x,y,boundary_distance,log_total_counts",0.6023869417187924,57,,,,,,,,,,
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_015,0.16530632652580507,0.16530632652580507,0.05536139217382325,135,"structure,x,y,boundary_distance,log_total_counts",0.6023869417187924,58,,,,,,,,,,
unfolded_protein_response,metabolic_stress,embedding__plip_035,-0.16494109085237285,0.16494109085237285,0.05590997420848828,135,"structure,x,y,boundary_distance,log_total_counts",0.6023869417187924,59,,,,,,,,,,
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_055,0.1644265978917974,0.1644265978917974,0.05669032653221184,135,"structure,x,y,boundary_distance,log_total_counts",0.6023869417187924,60,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_049,-0.16340911779398506,0.16340911779398506,0.058259968875806686,135,"structure,x,y,boundary_distance,log_total_counts",0.6023869417187924,61,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_057,-0.1628484644182416,0.1628484644182416,0.05914001874485139,135,"structure,x,y,boundary_distance,log_total_counts",0.6023869417187924,62,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_013,-0.16274888351991648,0.16274888351991648,0.059297464575443624,135,"structure,x,y,boundary_distance,log_total_counts",0.6023869417187924,63,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_044,0.1600908450494523,0.1600908450494523,0.06362876380103248,135,"structure,x,y,boundary_distance,log_total_counts",0.6193029718474912,64,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,embedding__plip_011,0.15974129941744117,0.15974129941744117,0.06421710532426658,135,"structure,x,y,boundary_distance,log_total_counts",0.6193029718474912,65,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_026,-0.1592726855243979,0.1592726855243979,0.06501281693540047,135,"structure,x,y,boundary_distance,log_total_counts",0.6193029718474912,66,,,,,,,,,,
emt_invasive_front,invasion_boundary_emt,embedding__plip_004,-0.15749556246587373,0.15749556246587373,0.06810376465657254,135,"structure,x,y,boundary_distance,log_total_counts",0.6193029718474912,67,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_033,-0.15724096167539078,0.15724096167539078,0.0685562183643111,135,"structure,x,y,boundary_distance,log_total_counts",0.6193029718474912,68,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_036,-0.15650193028154322,0.15650193028154322,0.06988340912714919,135,"structure,x,y,boundary_distance,log_total_counts",0.6193029718474912,69,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_042,0.15648600275111102,0.15648600275111102,0.06991224051069304,135,"structure,x,y,boundary_distance,log_total_counts",0.6193029718474912,70,,,,,,,,,,
