pathway,family,gene,weight,direction,source,evidence_tag
luminal_estrogen_response,endocrine_epithelial_identity,ESR1,1.0,1.0,curated_cancer_pathway_v1,ER/luminal epithelial program
luminal_estrogen_response,endocrine_epithelial_identity,PGR,1.0,1.0,curated_cancer_pathway_v1,ER/luminal epithelial program
luminal_estrogen_response,endocrine_epithelial_identity,GATA3,1.0,1.0,curated_cancer_pathway_v1,ER/luminal epithelial program
luminal_estrogen_response,endocrine_epithelial_identity,FOXA1,1.0,1.0,curated_cancer_pathway_v1,ER/luminal epithelial program
luminal_estrogen_response,endocrine_epithelial_identity,XBP1,1.0,1.0,curated_cancer_pathway_v1,ER/luminal epithelial program
luminal_estrogen_response,endocrine_epithelial_identity,AGR2,1.0,1.0,curated_cancer_pathway_v1,ER/luminal epithelial program
luminal_estrogen_response,endocrine_epithelial_identity,KRT8,1.0,1.0,curated_cancer_pathway_v1,ER/luminal epithelial program
luminal_estrogen_response,endocrine_epithelial_identity,KRT18,1.0,1.0,curated_cancer_pathway_v1,ER/luminal epithelial program
luminal_estrogen_response,endocrine_epithelial_identity,TFF1,1.0,1.0,curated_cancer_pathway_v1,ER/luminal epithelial program
luminal_estrogen_response,endocrine_epithelial_identity,GREB1,1.0,1.0,curated_cancer_pathway_v1,ER/luminal epithelial program
epithelial_identity,endocrine_epithelial_identity,EPCAM,1.0,1.0,curated_cancer_pathway_v1,epithelial adhesion/cytokeratin state
epithelial_identity,endocrine_epithelial_identity,KRT8,1.0,1.0,curated_cancer_pathway_v1,epithelial adhesion/cytokeratin state
epithelial_identity,endocrine_epithelial_identity,KRT18,1.0,1.0,curated_cancer_pathway_v1,epithelial adhesion/cytokeratin state
epithelial_identity,endocrine_epithelial_identity,KRT19,1.0,1.0,curated_cancer_pathway_v1,epithelial adhesion/cytokeratin state
epithelial_identity,endocrine_epithelial_identity,CDH1,1.0,1.0,curated_cancer_pathway_v1,epithelial adhesion/cytokeratin state
epithelial_identity,endocrine_epithelial_identity,CLDN4,1.0,1.0,curated_cancer_pathway_v1,epithelial adhesion/cytokeratin state
epithelial_identity,endocrine_epithelial_identity,TACSTD2,1.0,1.0,curated_cancer_pathway_v1,epithelial adhesion/cytokeratin state
