pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
basal_squamous_state,embedding__plip_059,0.2641627415099447,6,12,0.07692307692307693,0.12291830189577131,0.13207030956520902,True,True
basal_squamous_state,embedding__plip_018,0.209674941739261,6,12,0.07692307692307693,0.1311166353324672,0.14347129412349563,True,True
basal_squamous_state,embedding__plip_006,0.20152418728056362,6,12,0.07692307692307693,0.15496340158076424,0.16988398802886123,True,True
basal_squamous_state,embedding__plip_011,0.19684735005792015,6,12,0.07692307692307693,0.13724013140166266,0.16786127854884003,True,True
myofibroblast_caf_activation,embedding__plip_049,0.18771131125677387,7,12,0.07692307692307693,0.12962075834699965,0.1412023566960146,True,True
basal_squamous_state,embedding__plip_041,0.18015976156812577,6,12,0.07692307692307693,0.11983321652056945,0.13314742118988063,True,True
basal_squamous_state,embedding__plip_058,0.17786679362558944,6,12,0.07692307692307693,0.09164486287951817,0.09168153320286306,True,True
myofibroblast_caf_activation,embedding__plip_035,0.17046683663664397,7,12,0.07692307692307693,0.09986820094610152,0.10849268267178407,True,True
immune_exclusion,embedding__plip_044,0.16840814411166966,7,12,0.07692307692307693,0.10225989917952291,0.1424314637730192,True,True
basal_squamous_state,embedding__plip_039,0.1682820773503855,6,12,0.07692307692307693,0.11375653133450735,0.1169687258138709,True,True
