pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
unfolded_protein_response,embedding__plip_028,0.27745245840903826,7,12,0.07692307692307693,0.14575845887599817,0.15763904994465822,True,True
immune_exclusion,embedding__plip_014,0.25723097469891015,7,12,0.15384615384615385,0.2275763575773067,0.25975341928797535,True,False
luminal_estrogen_response,embedding__plip_058,0.24617413060214346,10,12,0.07692307692307693,0.2232697378570675,0.2285947217077797,True,True
luminal_estrogen_response,embedding__plip_009,0.244591051088885,10,12,0.07692307692307693,0.21830414551236033,0.2274213863546932,True,True
unfolded_protein_response,embedding__plip_009,0.24168662346514133,7,12,0.07692307692307693,0.1222766557868659,0.13620296655609365,True,True
unfolded_protein_response,embedding__plip_038,0.23840761910283906,7,12,0.15384615384615385,0.19627962984284184,0.2557729077320313,True,False
unfolded_protein_response,embedding__plip_056,0.2345082751364993,7,12,0.07692307692307693,0.15162568407749932,0.15198928743022097,True,True
unfolded_protein_response,embedding__plip_022,0.2342935894615031,7,12,0.15384615384615385,0.19483115011909102,0.22674726731698022,True,True
oxidative_phosphorylation,embedding__plip_045,0.2287669306183642,7,12,0.07692307692307693,0.15301151639866664,0.18869518686660489,True,True
luminal_estrogen_response,embedding__plip_034,0.22190699082856566,10,12,0.07692307692307693,0.1777178609308439,0.18134298886132857,True,True
