pathway,image_feature,observed_abs_partial_spearman_rho,permutations,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99
unfolded_protein_response,embedding__plip_028,0.27745245840903826,12,0.07692307692307693,0.1715960375542635,0.238612230266595,True,True
immune_exclusion,embedding__plip_014,0.25723097469891015,12,0.07692307692307693,0.13696325146014926,0.1869878689976104,True,True
luminal_estrogen_response,embedding__plip_058,0.24617413060214346,12,0.07692307692307693,0.17980440258500457,0.1864903456952556,True,True
luminal_estrogen_response,embedding__plip_009,0.244591051088885,12,0.07692307692307693,0.15000092952942562,0.19762893617895264,True,True
unfolded_protein_response,embedding__plip_009,0.24168662346514133,12,0.15384615384615385,0.2095910664923669,0.23979284728511416,True,True
unfolded_protein_response,embedding__plip_038,0.23840761910283906,12,0.07692307692307693,0.18606826759209502,0.19221292792856007,True,True
unfolded_protein_response,embedding__plip_056,0.2345082751364993,12,0.07692307692307693,0.17359575624460422,0.1899987088632442,True,True
unfolded_protein_response,embedding__plip_022,0.2342935894615031,12,0.07692307692307693,0.15859040345523642,0.1830457558236362,True,True
oxidative_phosphorylation,embedding__plip_045,0.2287669306183642,12,0.07692307692307693,0.16539523453183522,0.16543121098084762,True,True
luminal_estrogen_response,embedding__plip_034,0.22190699082856566,12,0.07692307692307693,0.15398065603829791,0.18458697502333915,True,True
