pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99,sample_role
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_058,-0.2461741306021434,0.2461741306021434,0.004285924074827,133,"structure,x,y,boundary_distance,log_total_counts",0.5311846301319796,3,0.0303030303030303,0.1966605453457073,0.2069977411611769,True,True,0.0606060606060606,0.2240504684811636,0.2502317109749625,True,False,breast_discovery
immune_exclusion,immune_ecology,embedding__plip_014,0.2572309746989101,0.2572309746989101,0.0027989636807326,133,"structure,x,y,boundary_distance,log_total_counts",0.5311846301319796,2,0.0606060606060606,0.1701305335123893,0.25808645418157,True,False,0.0303030303030303,0.2328519268702057,0.2503902074045021,True,True,breast_discovery
emt_invasive_front,invasion_boundary_emt,embedding__plip_002,-0.2146421920225409,0.2146421920225409,0.0131015758843671,133,"structure,x,y,boundary_distance,log_total_counts",0.645000658922691,13,,,,,,,,,,,breast_discovery
unfolded_protein_response,metabolic_stress,embedding__plip_028,0.2774524584090382,0.2774524584090382,0.001223877065358,133,"structure,x,y,boundary_distance,log_total_counts",0.5311846301319796,1,0.0303030303030303,0.1882245043139502,0.2380232689721433,True,True,0.0303030303030303,0.1522609252929388,0.1601517841863653,True,True,breast_discovery
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_014,0.2063577460071731,0.2063577460071731,0.0171685494471321,133,"structure,x,y,boundary_distance,log_total_counts",0.6867419778852878,16,,,,,,,,,,,breast_discovery
epithelial_identity,endocrine_epithelial_identity,embedding__plip_007,-0.3293476564116017,0.3293476564116017,8.501262078535946e-05,137,"structure,x,y,boundary_distance,log_total_counts",0.05440807730263,1,0.0303030303030303,0.1333606855871729,0.1833127612118062,True,True,0.0303030303030303,0.1479119661311503,0.2311720329866548,True,True,cervical_validation
immune_exclusion,immune_ecology,embedding__plip_059,-0.257441275773818,0.257441275773818,0.0023892623389772,137,"structure,x,y,boundary_distance,log_total_counts",0.1908139333187414,5,0.0303030303030303,0.1465474938795091,0.1756292026304122,True,True,0.0303030303030303,0.1378290153994744,0.1587091003930302,True,True,cervical_validation
emt_invasive_front,invasion_boundary_emt,embedding__plip_026,0.1952827932549816,0.1952827932549816,0.0222047673316305,137,"structure,x,y,boundary_distance,log_total_counts",0.3466110022498428,41,,,,,,,,,,,cervical_validation
unfolded_protein_response,metabolic_stress,embedding__plip_055,-0.269568749533504,0.269568749533504,0.0014450679635702,137,"structure,x,y,boundary_distance,log_total_counts",0.1908139333187414,4,0.0303030303030303,0.152377277863368,0.1947904637817077,True,True,0.0303030303030303,0.1886932672678077,0.2234797281560158,True,True,cervical_validation
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_008,-0.2777619684401649,0.2777619684401649,0.0010153270070639,137,"structure,x,y,boundary_distance,log_total_counts",0.1908139333187414,3,0.0303030303030303,0.1465517632182781,0.1977271422997517,True,True,0.0303030303030303,0.2031216240057041,0.2159690545109472,True,True,cervical_validation
