pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99,sample_role
epithelial_identity,endocrine_epithelial_identity,embedding__plip_030,0.1821287748381294,0.1821287748381294,0.0057065492933823,229,"structure,x,y,boundary_distance,log_total_counts",0.691570742323383,5,0.0769230769230769,0.1079229187479733,0.1188717362230138,True,True,0.1538461538461538,0.1862200977694687,0.2149746575271056,False,False,breast_discovery
immune_activation,immune_ecology,embedding__plip_059,-0.1344781828858352,0.1344781828858352,0.0420391594559112,229,"structure,x,y,boundary_distance,log_total_counts",0.7849350071666006,28,,,,,,,,,,,breast_discovery
emt_invasive_front,invasion_boundary_emt,embedding__plip_048,-0.1347678528243917,0.1347678528243917,0.0415947495485778,229,"structure,x,y,boundary_distance,log_total_counts",0.7849350071666006,27,,,,,,,,,,,breast_discovery
unfolded_protein_response,metabolic_stress,embedding__plip_013,0.2075478751916486,0.2075478751916486,0.0015883310154519,229,"structure,x,y,boundary_distance,log_total_counts",0.691570742323383,1,0.0769230769230769,0.0922726479581128,0.0938824331729501,True,True,0.0769230769230769,0.1756149406584304,0.1982422040561346,True,True,breast_discovery
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_040,0.1732497643065997,0.1732497643065997,0.008606659323662,229,"structure,x,y,boundary_distance,log_total_counts",0.691570742323383,6,0.0769230769230769,0.1023241294196618,0.1248529176002914,True,True,0.0769230769230769,0.0887660017614234,0.0938085603430009,True,True,breast_discovery
epithelial_identity,endocrine_epithelial_identity,embedding__plip_007,-0.1751153973334336,0.1751153973334336,0.0047066118267459,259,"structure,x,y,boundary_distance,log_total_counts",0.5020385948528997,6,0.0769230769230769,0.1045928338909838,0.1283571453601768,True,True,0.0769230769230769,0.1167109395421415,0.1182518157305126,True,True,cervical_validation
immune_activation,immune_ecology,embedding__plip_037,-0.1983840631422367,0.1983840631422367,0.0013310373103028,259,"structure,x,y,boundary_distance,log_total_counts",0.5020385948528997,1,0.0769230769230769,0.1200089703676288,0.1491699414300856,True,True,0.0769230769230769,0.1315642894054766,0.1378562668885724,True,True,cervical_validation
emt_invasive_front,invasion_boundary_emt,embedding__plip_021,-0.1256042548970324,0.1256042548970324,0.0434210722052341,259,"structure,x,y,boundary_distance,log_total_counts",0.7162968387584814,35,,,,,,,,,,,cervical_validation
oxidative_phosphorylation,metabolic_stress,embedding__plip_007,0.1809664593044065,0.1809664593044065,0.0034727866280497,259,"structure,x,y,boundary_distance,log_total_counts",0.5020385948528997,3,0.0769230769230769,0.0871550412790407,0.1123724169891405,True,True,0.0769230769230769,0.1145841311371665,0.1377428672928977,True,True,cervical_validation
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_055,-0.1755415765943586,0.1755415765943586,0.0046049366133801,259,"structure,x,y,boundary_distance,log_total_counts",0.5020385948528997,5,0.0769230769230769,0.1037853463025972,0.130982021355675,True,True,0.0769230769230769,0.1028635821883527,0.1069667597304423,True,True,cervical_validation
