pathway,image_feature,observed_abs_partial_spearman_rho,permutations,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,sample_role
immune_activation,embedding__plip_052,0.3031426892947546,12,0.0769230769230769,0.1661537285453513,0.1675033152375473,True,True,breast_discovery
basal_squamous_state,embedding__plip_047,0.2792427532995215,12,0.0769230769230769,0.1170770324552998,0.124028728498538,True,True,breast_discovery
emt_invasive_front,embedding__plip_062,0.2713505121112711,12,0.0769230769230769,0.100769644434362,0.1193935401346158,True,True,breast_discovery
basal_squamous_state,embedding__plip_031,0.2649617009832263,12,0.0769230769230769,0.1269491965948491,0.1395126675728217,True,True,breast_discovery
basal_squamous_state,embedding__plip_022,0.2603710160932079,12,0.0769230769230769,0.1372498226001222,0.1418489631846608,True,True,breast_discovery
basal_squamous_state,embedding__plip_025,0.2601740889083889,12,0.0769230769230769,0.0877316923863197,0.0974692453986782,True,True,breast_discovery
unfolded_protein_response,embedding__plip_003,0.2574753851414333,12,0.0769230769230769,0.1886956269831634,0.2010751051436157,True,True,breast_discovery
immune_activation,embedding__plip_024,0.2527543038413972,12,0.1538461538461538,0.2116617328953727,0.2567717828758648,True,False,breast_discovery
myofibroblast_caf_activation,embedding__plip_012,0.2423648320393421,12,0.0769230769230769,0.1641478568878022,0.1981220556090743,True,True,breast_discovery
basal_squamous_state,embedding__plip_002,0.2400645351203894,12,0.0769230769230769,0.1598171548057901,0.1698170776251191,True,True,breast_discovery
immune_exclusion,embedding__plip_047,0.3376933121893652,12,0.0769230769230769,0.2322083283864273,0.245974638957882,True,True,cervical_validation
collagen_ecm_organization,embedding__plip_043,0.3327348653129739,12,0.0769230769230769,0.12268341870297,0.1545216694101015,True,True,cervical_validation
oxidative_phosphorylation,embedding__plip_032,0.2818588070335505,12,0.0769230769230769,0.1372975014703447,0.1395650005471227,True,True,cervical_validation
oxidative_phosphorylation,embedding__plip_063,0.2782087283731294,12,0.0769230769230769,0.1267567331134629,0.1620464480379862,True,True,cervical_validation
collagen_ecm_organization,embedding__plip_047,0.2697857888739186,12,0.0769230769230769,0.1308294820130369,0.1526215807033251,True,True,cervical_validation
immune_exclusion,embedding__plip_005,0.2638520099470804,12,0.1538461538461538,0.2064679119635182,0.2583707039636008,True,True,cervical_validation
immune_exclusion,embedding__plip_043,0.263467233569347,12,0.0769230769230769,0.1496696321365382,0.1576282857848914,True,True,cervical_validation
collagen_ecm_organization,embedding__plip_005,0.256934903896734,12,0.1538461538461538,0.230364810772242,0.2810532241233401,True,False,cervical_validation
immune_exclusion,embedding__plip_054,0.2563159200099456,12,0.0769230769230769,0.16876932475789,0.1702701972558741,True,True,cervical_validation
collagen_ecm_organization,embedding__plip_002,0.2412236153255295,12,0.0769230769230769,0.1795187296397301,0.2197835716906189,True,True,cervical_validation
