pathway,image_feature,observed_abs_partial_spearman_rho,n_present_genes,n_negative_controls,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99,sample_role
immune_activation,embedding__plip_052,0.3031426892947546,7,32,0.0303030303030303,0.1446884199583304,0.1544596299090469,True,True,breast_discovery
basal_squamous_state,embedding__plip_047,0.2792427532995215,6,32,0.0303030303030303,0.1823990727522851,0.2087282583982261,True,True,breast_discovery
emt_invasive_front,embedding__plip_062,0.2713505121112711,8,32,0.0303030303030303,0.1763560654487713,0.2334115482441137,True,True,breast_discovery
basal_squamous_state,embedding__plip_031,0.2649617009832263,6,32,0.0606060606060606,0.2254622213667955,0.2646081219932157,True,True,breast_discovery
basal_squamous_state,embedding__plip_022,0.2603710160932079,6,32,0.0303030303030303,0.1887898279088484,0.2167127178033541,True,True,breast_discovery
basal_squamous_state,embedding__plip_025,0.2601740889083889,6,32,0.0606060606060606,0.1845981724543362,0.2587615084441723,True,True,breast_discovery
unfolded_protein_response,embedding__plip_003,0.2574753851414333,7,32,0.0606060606060606,0.2344337400929262,0.2655365224561739,True,False,breast_discovery
immune_activation,embedding__plip_024,0.2527543038413972,7,32,0.0303030303030303,0.181820924435532,0.2077274048539707,True,True,breast_discovery
myofibroblast_caf_activation,embedding__plip_012,0.2423648320393421,7,32,0.0303030303030303,0.1894660926653,0.207638610296155,True,True,breast_discovery
basal_squamous_state,embedding__plip_002,0.2400645351203894,6,32,0.0303030303030303,0.1797402012978277,0.2149033115769364,True,True,breast_discovery
immune_exclusion,embedding__plip_047,0.3376933121893652,7,32,0.0303030303030303,0.2372029724035753,0.2390429467259778,True,True,cervical_validation
collagen_ecm_organization,embedding__plip_043,0.3327348653129739,7,32,0.0303030303030303,0.2377880041678208,0.2591899277308233,True,True,cervical_validation
oxidative_phosphorylation,embedding__plip_032,0.2818588070335505,7,32,0.0303030303030303,0.2258771978857548,0.2519815251283133,True,True,cervical_validation
oxidative_phosphorylation,embedding__plip_063,0.2782087283731294,7,32,0.0303030303030303,0.2072699085174241,0.212370132793693,True,True,cervical_validation
collagen_ecm_organization,embedding__plip_047,0.2697857888739186,7,32,0.0606060606060606,0.2635932655676755,0.2781922846733645,True,False,cervical_validation
immune_exclusion,embedding__plip_005,0.2638520099470804,7,32,0.0303030303030303,0.1751535343812795,0.2202429032929266,True,True,cervical_validation
immune_exclusion,embedding__plip_043,0.263467233569347,7,32,0.0606060606060606,0.2425800592622311,0.3062181504884653,True,False,cervical_validation
collagen_ecm_organization,embedding__plip_005,0.256934903896734,7,32,0.0303030303030303,0.2079754589149146,0.2171163389791486,True,True,cervical_validation
immune_exclusion,embedding__plip_054,0.2563159200099456,7,32,0.0303030303030303,0.1608175118964596,0.1810251081479246,True,True,cervical_validation
collagen_ecm_organization,embedding__plip_002,0.2412236153255295,7,32,0.0303030303030303,0.1772374406899523,0.2040700432489276,True,True,cervical_validation
