pathway,family,image_feature,partial_spearman_rho,abs_partial_spearman_rho,p_value,n_observations,covariates,fdr,rank,permutation_empirical_p,null_abs_rho_q95,null_abs_rho_q99,passes_spatial_null_95,passes_spatial_null_99,negative_control_empirical_p,negative_control_abs_rho_q95,negative_control_abs_rho_q99,passes_negative_control_95,passes_negative_control_99
immune_activation,immune_ecology,embedding__plip_002,-0.48151591550038897,0.48151591550038897,2.1267125262710203e-05,71,"structure,x,y,boundary_distance,log_total_counts",0.0034027400420336322,1,0.2,0.2788404851616067,0.2832967477742416,True,True,0.2,0.16038874444524034,0.16442600776421062,True,True
immune_activation,immune_ecology,embedding__plip_012,0.3117641258511114,0.3117641258511114,0.008129147126980962,71,"structure,x,y,boundary_distance,log_total_counts",0.650331770158477,2,0.2,0.18417981591760227,0.20255391789469948,True,True,0.2,0.09931748007329,0.10117378794677669,True,True
basal_squamous_state,endocrine_epithelial_identity,embedding__plip_004,0.23799832877798538,0.23799832877798538,0.04564814434542423,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,3,0.2,0.15879633678400892,0.163238129378034,True,True,0.6,0.24820110101502926,0.24870791115829113,False,False
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_007,0.21644519216366612,0.21644519216366612,0.06983424597962337,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,4,0.2,0.12847919447926795,0.135049719439964,True,True,0.2,0.14639895604836267,0.15003664940135805,True,True
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_004,-0.2116954009292632,0.2116954009292632,0.07635126433480449,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,5,0.2,0.1870247134163225,0.20415624630500806,True,True,0.2,0.1876538125769336,0.19158493689893097,True,True
basal_squamous_state,endocrine_epithelial_identity,embedding__plip_002,0.21158705799306426,0.21158705799306426,0.07650538929291875,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,6,0.2,0.16250200308610172,0.16979920848454474,True,True,0.4,0.23985880017441755,0.25536894928969395,False,False
unfolded_protein_response,metabolic_stress,embedding__plip_005,-0.20529381064990723,0.20529381064990723,0.0858920341181154,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,7,0.2,0.13642163808461208,0.13714272468028132,True,True,0.2,0.19872295032107298,0.19899200640308212,True,True
immune_activation,immune_ecology,embedding__plip_010,0.20353113861849068,0.20353113861849068,0.0886780743793039,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,8,0.6,0.23538484420464034,0.23955223444846263,False,False,0.2,0.10758025953977339,0.111170042790232,True,True
immune_activation,immune_ecology,embedding__plip_013,0.20170976673199073,0.20170976673199073,0.09163122385732501,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,9,,,,,,,,,,
epithelial_identity,endocrine_epithelial_identity,embedding__plip_005,0.20061410578680305,0.20061410578680305,0.09344461042808154,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,10,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_009,-0.19947615071927757,0.19947615071927757,0.09535768432501243,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,11,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,embedding__plip_001,0.19712428168007912,0.19712428168007912,0.09940865311343439,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,12,,,,,,,,,,
unfolded_protein_response,metabolic_stress,embedding__plip_009,-0.1959765773946102,0.1959765773946102,0.10143365958042516,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,13,,,,,,,,,,
immune_exclusion,immune_ecology,embedding__plip_014,-0.17846826277837793,0.17846826277837793,0.13646335070814553,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,14,,,,,,,,,,
unfolded_protein_response,metabolic_stress,embedding__plip_002,0.17759874293416575,0.17759874293416575,0.13841528679822404,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,15,,,,,,,,,,
immune_exclusion,immune_ecology,embedding__plip_011,0.17721634040540205,0.17721634040540205,0.1392803514625921,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,16,,,,,,,,,,
epithelial_identity,endocrine_epithelial_identity,embedding__plip_011,-0.17574757049935796,0.17574757049935796,0.1426408515270082,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,17,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_008,-0.16712079271541924,0.16712079271541924,0.16361740013110632,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,18,,,,,,,,,,
oxidative_phosphorylation,metabolic_stress,embedding__plip_008,0.16182900838079733,0.16182900838079733,0.17756258038656036,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,19,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_014,-0.16166365308025088,0.16166365308025088,0.17801185942839734,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,20,,,,,,,,,,
epithelial_identity,endocrine_epithelial_identity,embedding__plip_003,-0.16136933985343385,0.16136933985343385,0.17881357036035492,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,21,,,,,,,,,,
immune_exclusion,immune_ecology,embedding__plip_000,0.15980853161674044,0.15980853161674044,0.18310915447381884,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,22,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_009,0.1593575598046327,0.1593575598046327,0.1843641115835199,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,23,,,,,,,,,,
unfolded_protein_response,metabolic_stress,embedding__plip_007,0.1580816454637279,0.1580816454637279,0.18794841422560787,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,24,,,,,,,,,,
immune_exclusion,immune_ecology,embedding__plip_008,-0.1559894515388023,0.1559894515388023,0.1939342020981294,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,25,,,,,,,,,,
emt_invasive_front,invasion_boundary_emt,embedding__plip_012,0.15419115562217886,0.15419115562217886,0.1991875177076157,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,26,,,,,,,,,,
unfolded_protein_response,metabolic_stress,embedding__plip_012,-0.15281684676307547,0.15281684676307547,0.2032702538317052,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,27,,,,,,,,,,
unfolded_protein_response,metabolic_stress,embedding__plip_000,-0.15183813176941963,0.15183813176941963,0.20621388066404425,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,28,,,,,,,,,,
immune_activation,immune_ecology,embedding__plip_006,0.15043824093071073,0.15043824093071073,0.2104766900053704,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,29,,,,,,,,,,
basal_squamous_state,endocrine_epithelial_identity,embedding__plip_012,-0.14918214947579966,0.14918214947579966,0.21435436994735885,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,30,,,,,,,,,,
emt_invasive_front,invasion_boundary_emt,embedding__plip_008,-0.14770840240532895,0.14770840240532895,0.21896787947925714,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,31,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_007,-0.146331499168542,0.146331499168542,0.22334083834721358,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,32,,,,,,,,,,
unfolded_protein_response,metabolic_stress,embedding__plip_015,-0.1440777631999624,0.1440777631999624,0.23062975132258318,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,33,,,,,,,,,,
unfolded_protein_response,metabolic_stress,embedding__plip_014,0.14407091905681155,0.14407091905681155,0.23065213518230812,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,34,,,,,,,,,,
luminal_estrogen_response,endocrine_epithelial_identity,embedding__plip_008,0.142805537778574,0.142805537778574,0.23481655991402295,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,35,,,,,,,,,,
epithelial_identity,endocrine_epithelial_identity,embedding__plip_001,0.14052466798641777,0.14052466798641777,0.24245391313292533,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,36,,,,,,,,,,
collagen_ecm_organization,stromal_remodeling_caf_ecm,embedding__plip_005,-0.13929336077866397,0.13929336077866397,0.2466471237448843,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,37,,,,,,,,,,
immune_exclusion,immune_ecology,embedding__plip_001,-0.13870504481605292,0.13870504481605292,0.24866807343204786,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,38,,,,,,,,,,
emt_invasive_front,invasion_boundary_emt,embedding__plip_009,0.1377692733471813,0.1377692733471813,0.25190586389557207,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,39,,,,,,,,,,
epithelial_identity,endocrine_epithelial_identity,embedding__plip_002,-0.13728794831527322,0.13728794831527322,0.2535824081331048,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,40,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_008,-0.13651066990644561,0.13651066990644561,0.25630582456733325,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,41,,,,,,,,,,
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,embedding__plip_014,-0.13595201972680032,0.13595201972680032,0.2582754428284123,71,"structure,x,y,boundary_distance,log_total_counts",0.8723664771132351,42,,,,,,,,,,
