pathway,family,n_runs,recovery_rate,recovered_runs,mean_discovery_abs_partial_rho,mean_validation_pathway_abs_partial_rho,mean_validation_family_abs_partial_rho
luminal_estrogen_response,endocrine_epithelial_identity,3,1.0,3,0.23414551466759123,0.22984960493938633,0.2452506896864555
basal_squamous_state,endocrine_epithelial_identity,3,1.0,3,0.22980669103933038,0.2250426567269063,0.2452506896864555
collagen_ecm_organization,stromal_remodeling_caf_ecm,3,1.0,3,0.20649473729845202,0.22486508461100765,0.2342598455594105
myofibroblast_caf_activation,stromal_remodeling_caf_ecm,3,1.0,3,0.1991789739149904,0.19568997728479917,0.2342598455594105
epithelial_identity,endocrine_epithelial_identity,3,1.0,3,0.17438209094158516,0.2176177067094628,0.2452506896864555
immune_activation,immune_ecology,3,0.6666666666666666,2,0.23522893620153018,0.2202334522434557,0.23024435355988124
oxidative_phosphorylation,metabolic_stress,3,0.6666666666666666,2,0.21835717409990318,0.19105376459524556,0.2332048423003553
emt_invasive_front,invasion_boundary_emt,3,0.6666666666666666,2,0.20196703720884013,0.2090702697040866,0.2090702697040866
unfolded_protein_response,metabolic_stress,3,0.6666666666666666,2,0.19100608092060886,0.21338515013490608,0.2332048423003553
immune_exclusion,immune_ecology,3,0.6666666666666666,2,0.18782061457684182,0.21508039746659988,0.23024435355988124
