assigned_structure,gene,shell_start,shell_end,shell_mid,mean_density_per_um2,sem_density_per_um2,n_shells,total_count
S1,CDH5,-100.0,-80.0,-90.0,0.0001544261822724678,3.114155303424432e-05,35,309
S1,CDH5,-80.0,-60.0,-70.0,0.00018638405117156286,3.6126403983120285e-05,42,294
S1,CDH5,-60.0,-40.0,-50.0,0.00014757992474614864,3.183107460481389e-05,54,367
S1,CDH5,-40.0,-20.0,-30.0,0.00014663965436548663,1.4235450578186398e-05,64,489
S1,CDH5,-20.0,0.0,-10.0,0.00041926898873222504,0.00021399949913443955,100,1125
S1,CDH5,0.0,20.0,10.0,0.0003323155269305607,0.00010277396767773745,96,41
S1,CDH5,20.0,40.0,30.0,2.5587894102798574e-05,1.2813353248174462e-05,78,6
S1,CDH5,40.0,60.0,50.0,2.935116401099121e-05,2.0986402595508985e-05,80,12
S1,CDH5,60.0,80.0,70.0,2.8175692425619094e-05,1.7610838964927995e-05,84,13
S1,CDH5,80.0,100.0,90.0,0.00022095379719139964,0.000160585868433933,92,6
S4,CDH5,-100.0,-80.0,-90.0,0.00027318696933285684,0.00010433423798757098,7,385
S4,CDH5,-80.0,-60.0,-70.0,0.00013481802246154476,6.136697023361874e-05,17,354
S4,CDH5,-60.0,-40.0,-50.0,0.00019792752289100936,6.989163626515005e-05,43,435
S4,CDH5,-40.0,-20.0,-30.0,0.00011399774348582504,4.23642004333186e-05,118,414
S4,CDH5,-20.0,0.0,-10.0,0.00026462253967218867,9.109373883725028e-05,330,650
S4,CDH5,0.0,20.0,10.0,0.0003074472941858313,0.00014907842598895987,303,22
S4,CDH5,20.0,40.0,30.0,0.00034237484578606065,0.00023961822195857542,215,16
S4,CDH5,40.0,60.0,50.0,6.059024603436156e-06,2.8949127531730615e-06,219,8
S4,CDH5,60.0,80.0,70.0,0.00025166424769488524,0.0002466560732182421,237,11
S4,CDH5,80.0,100.0,90.0,0.00020122640407870728,0.0001389410462346167,237,14
S5,CDH5,-100.0,-80.0,-90.0,0.0007087953537274393,0.0005049948617605557,9,42
S5,CDH5,-80.0,-60.0,-70.0,0.0001801446879647666,8.525234010593138e-05,18,51
S5,CDH5,-60.0,-40.0,-50.0,0.00023157964528583436,0.0001109119270838502,21,55
S5,CDH5,-40.0,-20.0,-30.0,0.00015115423154004194,3.5708157440833006e-05,25,79
S5,CDH5,-20.0,0.0,-10.0,0.00042492224186497634,8.525780703144933e-05,31,329
S5,CDH5,0.0,20.0,10.0,0.002524543339694416,0.0014843863595536768,16,10
S5,CDH5,20.0,40.0,30.0,0.0034168155805006165,0.0024444029389544555,9,4
S5,CDH5,40.0,60.0,50.0,0.0,0.0,10,0
S5,CDH5,60.0,80.0,70.0,0.003170740600243813,0.003170740600243813,12,1
S5,CDH5,80.0,100.0,90.0,0.0030655233615895536,0.003051490552410959,10,2
S1,CLIC6,-100.0,-80.0,-90.0,0.00032205892894318384,0.00011640634553387356,35,412
S1,CLIC6,-80.0,-60.0,-70.0,0.0003026647147880418,5.115354620490809e-05,42,591
S1,CLIC6,-60.0,-40.0,-50.0,0.00028126431193912805,4.7895616527703925e-05,54,718
S1,CLIC6,-40.0,-20.0,-30.0,0.00038642448980503124,6.16191711324991e-05,64,1037
S1,CLIC6,-20.0,0.0,-10.0,0.0002324696316039609,3.409104399227038e-05,100,1110
S1,CLIC6,0.0,20.0,10.0,0.0003307682424873478,0.00022721558352245555,96,16
S1,CLIC6,20.0,40.0,30.0,1.3411809174438335e-05,9.867602010508857e-06,78,6
S1,CLIC6,40.0,60.0,50.0,3.2599550314188647e-06,3.2599550314188643e-06,80,1
S1,CLIC6,60.0,80.0,70.0,0.0002032866045913149,0.0001917911251579478,84,6
S1,CLIC6,80.0,100.0,90.0,1.2492368139277172e-05,9.327647278084485e-06,92,7
S4,CLIC6,-100.0,-80.0,-90.0,0.0002583264300903219,0.0001952489492621564,7,965
S4,CLIC6,-80.0,-60.0,-70.0,0.00014972261493361092,8.427429979993855e-05,17,1079
S4,CLIC6,-60.0,-40.0,-50.0,4.827446589275398e-05,2.195681867468474e-05,43,785
S4,CLIC6,-40.0,-20.0,-30.0,0.00011894250133867607,5.9091023568584076e-05,118,575
S4,CLIC6,-20.0,0.0,-10.0,0.0003000451588398044,0.00010342264846786945,330,1112
S4,CLIC6,0.0,20.0,10.0,0.0003009287345643713,0.0001370747964264658,303,24
S4,CLIC6,20.0,40.0,30.0,1.7397961125234585e-06,1.1071084901710124e-06,215,4
S4,CLIC6,40.0,60.0,50.0,0.00022688974276458703,0.0001981098708122704,219,12
S4,CLIC6,60.0,80.0,70.0,0.00018367295832542605,0.00018119163512718325,237,7
S4,CLIC6,80.0,100.0,90.0,0.00021781061214816604,0.00018469587085194974,237,3
S5,CLIC6,-100.0,-80.0,-90.0,0.008213762897973721,0.003258252920727459,9,692
S5,CLIC6,-80.0,-60.0,-70.0,0.011975959787654492,0.004034987978529085,18,1216
S5,CLIC6,-60.0,-40.0,-50.0,0.011405733681830526,0.003148958714922276,21,2182
S5,CLIC6,-40.0,-20.0,-30.0,0.009170743602487838,0.0017432059855386577,25,3311
S5,CLIC6,-20.0,0.0,-10.0,0.007785601424138374,0.0012830060639796332,31,4095
S5,CLIC6,0.0,20.0,10.0,0.0022575238547615332,0.0009642177256229195,16,10
S5,CLIC6,20.0,40.0,30.0,0.0,0.0,9,0
