gene,comparison,top_group,bottom_group,max_mean_density_per_um2,min_mean_density_per_um2,delta_density_per_um2,statistic,p_value,status,fdr
ESR1,S1_vs_S4_vs_S5_outward_0_60um,S5,S4,0.005723273815823019,0.0008569412801917117,0.004866332535631307,107.94348561194118,3.6338744689543014e-24,ok,9.448073619281184e-23
EPCAM,S1_vs_S4_vs_S5_outward_0_60um,S1,S4,0.003581307852474792,0.002233917542993418,0.001347390309481374,92.20224552916666,9.517804365162014e-21,ok,1.237314567471062e-19
HSPB8,S1_vs_S4_vs_S5_outward_0_60um,S5,S1,0.00485161380531534,4.4212630444991354e-05,0.0048074011748703484,69.05768623104902,1.0099827781651673e-15,ok,8.75318407743145e-15
POSTN,S1_vs_S4_vs_S5_outward_0_60um,S1,S5,0.013009543632519428,0.003003713463673592,0.010005830168845835,47.769849246075864,4.2355424187749873e-11,ok,2.697667193856707e-10
KDR,S1_vs_S4_vs_S5_outward_0_60um,S5,S4,0.0013536699611680651,0.00031417031767008,0.001039499643497985,47.364244316515894,5.187821526647514e-11,ok,2.697667193856707e-10
COL1A1,S1_vs_S4_vs_S5_outward_0_60um,S5,S4,0.001592275978916376,0.0005890388855356108,0.001003237093380765,40.69732714616332,1.4544128270263547e-09,ok,6.3024555837808705e-09
MMP11,S1_vs_S4_vs_S5_outward_0_60um,S1,S5,0.0007453938459122351,0.0,0.0007453938459122351,31.90840998572883,1.1780854939366252e-07,ok,4.375746120336036e-07
PGR,S1_vs_S4_vs_S5_outward_0_60um,S1,S5,0.000238311977232702,0.0001013706349278672,0.00013694134230483478,31.162722519636315,1.710412194941512e-07,ok,5.558839633559913e-07
CDH5,S1_vs_S4_vs_S5_outward_0_60um,S5,S1,0.0020326866759890344,0.0001427017301032733,0.0018899849458857611,30.859119227352757,1.990798943442266e-07,ok,5.751196947722102e-07
CLIC6,S1_vs_S4_vs_S5_outward_0_60um,S5,S1,0.0010320109050338437,0.00013016011337364206,0.0009018507916602016,24.384388991493083,5.069874491749738e-06,ok,1.318167367854932e-05
JCHAIN,S1_vs_S4_vs_S5_outward_0_60um,S5,S4,0.002034704186261803,5.8375521586052685e-05,0.00197632866467575,23.891634600888363,6.486306468372588e-06,ok,1.5331269834335207e-05
COL1A2,S1_vs_S4_vs_S5_outward_0_60um,S1,S5,0.0019174883466192847,0.00013247404675493317,0.0017850142998643516,18.675442545471423,8.803982643550045e-05,ok,0.00019075295727691765
MKI67,S1_vs_S4_vs_S5_outward_0_60um,S5,S1,0.0010240156392775726,0.0005062994916650518,0.0005177161476125208,15.158229860363818,0.0005110133053759148,ok,0.0010220266107518296
TAT,S1_vs_S4_vs_S5_outward_0_60um,S5,S4,0.0007157250914886956,2.3170781407741505e-06,0.0007134080133479214,12.442394724963181,0.001986864795073834,ok,0.0036898917622799773
CD163,S1_vs_S4_vs_S5_outward_0_60um,S4,S1,0.00018687826225029287,0.00016990541875028904,1.697284350000384e-05,11.281438959314517,0.003550313109030569,ok,0.0061538760556529865
MMRN2,S1_vs_S4_vs_S5_outward_0_60um,S1,S4,0.0006257371646460861,0.0003503638499242975,0.00027537331472178854,9.881992842093807,0.007147472930473919,ok,0.011614643512020118
C1QA,S1_vs_S4_vs_S5_outward_0_60um,S1,S5,0.001220903946393815,8.055974233107169e-05,0.0011403442040627434,9.657025701677108,0.007998407250284252,ok,0.012232858147493563
CSF1R,S1_vs_S4_vs_S5_outward_0_60um,S1,S5,0.0012201201013672205,5.9209039537895576e-05,0.001160911061829325,8.544330244874757,0.01395154362886786,ok,0.020152229686142466
SOSTDC1,S1_vs_S4_vs_S5_outward_0_60um,S4,S5,0.0008014474394075793,0.0,0.0008014474394075793,8.206076381583369,0.01652240086245525,ok,0.02260960118020192
KRT23,S1_vs_S4_vs_S5_outward_0_60um,S4,S5,2.6382811443333512e-05,0.0,2.6382811443333512e-05,6.182411623393902,0.04544712068198234,ok,0.05897065444733812
IGHA1,S1_vs_S4_vs_S5_outward_0_60um,S5,S4,0.001314597117597929,0.00010883701361735597,0.001205760103980573,6.088578882717129,0.047630143976696175,ok,0.05897065444733812
PIP,S1_vs_S4_vs_S5_outward_0_60um,S5,S4,0.0002782818964394716,1.745827668372733e-05,0.00026082361975574426,5.608170786922422,0.060562136375964935,ok,0.07157343389886765
C3,S1_vs_S4_vs_S5_outward_0_60um,S1,S5,0.002458662577086579,7.06923056454854e-05,0.0023879702714410937,5.312095251482985,0.07022523035595776,ok,0.07938504301108269
COL11A1,S1_vs_S4_vs_S5_outward_0_60um,S4,S5,4.0581096583039624e-05,0.0,4.0581096583039624e-05,5.05080645889572,0.08002603742508439,ok,0.08669487387717477
CD3D,S1_vs_S4_vs_S5_outward_0_60um,S5,S4,0.0016984740930572218,0.00015428916876111343,0.0015441849242961085,3.493467136423912,0.1743424922406716,ok,0.1813161919302985
MS4A1,S1_vs_S4_vs_S5_outward_0_60um,S5,S4,0.0006134786666388831,8.913756553901008e-06,0.000604564910084982,2.217496135202928,0.3299718049882,ok,0.3299718049882
