assigned_structure,cell_type,n_contours,total_count,mean_count_per_contour,median_count_per_contour,mean_fraction,median_fraction,sem_fraction,mean_total_cells_per_contour
S1,11q13 Invasive Tumor Cells,100,59812,598.12,52.5,0.7372875914407905,0.7884200296660018,0.027626820993605167,741.04
S1,11q13 Invasive Tumor Cells (G1/S),100,2052,20.52,1.0,0.02518529617846794,0.012776200166141654,0.0034242122337554155,741.04
S1,11q13 Invasive Tumor Cells (Mitotic),100,2036,20.36,2.0,0.039577660749263124,0.020483780760626395,0.007634039351233533,741.04
S1,Apocrine Cells,100,13,0.13,0.0,0.0006780542314998803,0.0,0.0004242135957409703,741.04
S1,B Cells,100,90,0.9,0.0,0.0006549757654305975,0.0,0.00021347058834737592,741.04
S1,Basal-like Structured DCIS Cells,100,4835,48.35,3.5,0.05266485905856184,0.0402633879446645,0.005884568700786682,741.04
S1,"CAFs, DCIS Associated",100,220,2.2,0.0,0.002805745558246184,0.0,0.0009120081664571023,741.04
S1,"CAFs, Invasive Associated",100,1115,11.15,1.0,0.08154202054515691,0.010707710180694704,0.028263344090738603,741.04
S1,CXCL14+ Fibroblasts,100,584,5.84,0.0,0.005692842126951685,0.000585480093676815,0.0011711056949651806,741.04
S1,Dendritic Cells,100,563,5.63,0.0,0.019404950766931817,0.0053864734299516916,0.013105713597756394,741.04
S1,Endothelial Cells,100,713,7.13,0.0,0.003822386355861836,0.0,0.0006217111686354383,741.04
S1,Luminal-like Amorphous DCIS Cells,100,0,0.0,0.0,0.0,0.0,0.0,741.04
S1,Macrophages,100,186,1.86,0.0,0.0010981730173872054,0.0,0.0002260428174388236,741.04
S1,Mast Cells,100,11,0.11,0.0,4.8491669826384585e-05,0.0,2.1993107879833523e-05,741.04
S1,Myeloid Cells,100,146,1.46,0.0,0.001612357113284619,0.0,0.000936742386858598,741.04
S1,Myoepithelial Cells,100,807,8.07,1.0,0.022385031985703567,0.007797708134437404,0.006961460416022512,741.04
S1,Pericytes,100,768,7.68,0.0,0.004538521727193776,0.0,0.0008668477503597433,741.04
S1,Plasma Cells,100,21,0.21,0.0,0.00021791292515208947,0.0,0.0001386813549791473,741.04
S1,T Lymphocytes,100,132,1.32,0.0,0.0007831287842900265,0.0,0.00017977944661853645,741.04
S1,Unassigned,100,0,0.0,0.0,0.0,0.0,0.0,741.04
S2,11q13 Invasive Tumor Cells,555,1710,3.081081081081081,0.0,0.09496794525809271,0.0,0.00951101110724132,28.875675675675677
S2,11q13 Invasive Tumor Cells (G1/S),555,76,0.13693693693693693,0.0,0.00637871783862441,0.0,0.0031339859195043864,28.875675675675677
S2,11q13 Invasive Tumor Cells (Mitotic),555,104,0.1873873873873874,0.0,0.009610477008780982,0.0,0.003400734392129647,28.875675675675677
S2,Apocrine Cells,555,55,0.0990990990990991,0.0,0.0013949648058547977,0.0,0.0012710964463074344,28.875675675675677
S2,B Cells,555,1191,2.145945945945946,0.0,0.0930850548243062,0.0,0.012094789518215777,28.875675675675677
S2,Basal-like Structured DCIS Cells,555,2098,3.78018018018018,0.0,0.165110733363356,0.0,0.0141850912810704,28.875675675675677
S2,"CAFs, DCIS Associated",555,878,1.581981981981982,0.0,0.054623582887277276,0.0,0.006190522934347224,28.875675675675677
S2,"CAFs, Invasive Associated",555,869,1.5657657657657658,0.0,0.04841487587439291,0.0,0.007373802257359087,28.875675675675677
S2,CXCL14+ Fibroblasts,555,227,0.409009009009009,0.0,0.014592941775796212,0.0,0.004702003424276928,28.875675675675677
S2,Dendritic Cells,555,1951,3.5153153153153154,0.0,0.13649365356177207,0.0,0.01383772068901624,28.875675675675677
S2,Endothelial Cells,555,526,0.9477477477477477,0.0,0.010604231108778976,0.0,0.0016483524589616981,28.875675675675677
S2,Luminal-like Amorphous DCIS Cells,555,16,0.02882882882882883,0.0,0.0008991335917114372,0.0,0.0006028708957762297,28.875675675675677
