cell_type,metric,comparison,n_groups,n_tested_groups,top_group,bottom_group,max_mean,min_mean,statistic,p_value,fdr,status,test_scope,case,reference,n_case_contours,n_reference_contours,mean_case,mean_reference,delta_mean
Pericytes,n_cells,global,5.0,5.0,S3,S2,10.597864768683275,0.6288288288288288,466.0092133557869,1.5017909016050382e-99,6.007163606420153e-98,ok,global,,,,,,,
Endothelial Cells,n_cells,global,5.0,5.0,S3,S2,10.983985765124554,0.9477477477477477,449.04031278941153,7.003584385092451e-96,1.40071687701849e-94,ok,global,,,,,,,
Pericytes,fraction,global,5.0,5.0,S3,S5,0.14361128106202325,0.004209248211766553,427.88946527671976,2.614026523041e-91,3.485368697388e-90,ok,global,,,,,,,
Endothelial Cells,fraction,global,5.0,5.0,S3,S1,0.1559209611358662,0.003822386355861836,425.07399501954,1.061274949378909e-90,1.061274949378909e-89,ok,global,,,,,,,
Luminal-like Amorphous DCIS Cells,n_cells,global,5.0,5.0,S5,S1,256.7741935483871,0.0,365.65624954556057,7.297367723611693e-78,5.837894178889355e-77,ok,global,,,,,,,
CXCL14+ Fibroblasts,n_cells,global,5.0,5.0,S1,S2,5.84,0.409009009009009,360.8340722928037,8.027028921901602e-77,5.351352614601068e-76,ok,global,,,,,,,
"CAFs, DCIS Associated",fraction,global,5.0,5.0,S4,S1,0.6230552019307445,0.0028057455582461846,331.9867365789631,1.357360928619075e-70,7.756348163537572e-70,ok,global,,,,,,,
Luminal-like Amorphous DCIS Cells,fraction,global,5.0,5.0,S5,S1,0.86364841726621,0.0,319.99795614616386,5.2498855066329025e-68,2.6249427533164513e-67,ok,global,,,,,,,
11q13 Invasive Tumor Cells (Mitotic),n_cells,global,5.0,5.0,S1,S2,20.36,0.1873873873873874,313.68089646175304,1.2113707967156472e-66,5.3838702076251e-66,ok,global,,,,,,,
CXCL14+ Fibroblasts,fraction,global,5.0,5.0,S3,S5,0.11977293536317503,0.004547159380153441,304.6513298197142,1.075026411235282e-64,4.300105644941128e-64,ok,global,,,,,,,
Macrophages,n_cells,global,5.0,5.0,S3,S5,4.47153024911032,0.3225806451612903,303.39274696212595,2.00877268920751e-64,7.304627960754583e-64,ok,global,,,,,,,
11q13 Invasive Tumor Cells (Mitotic),fraction,global,5.0,5.0,S1,S5,0.039577660749263124,0.0029872716222766227,272.8140233578792,7.892169965387152e-58,2.630723321795717e-57,ok,global,,,,,,,
11q13 Invasive Tumor Cells,fraction,global,5.0,5.0,S1,S5,0.7372875914407905,0.006145292192446329,271.86850520668224,1.2618748610235623e-57,3.8826918800724993e-57,ok,global,,,,,,,
11q13 Invasive Tumor Cells (G1/S),n_cells,global,5.0,5.0,S1,S4,20.52,0.015151515151515152,258.345353813425,1.0364277740523967e-54,2.9612222115782765e-54,ok,global,,,,,,,
Macrophages,fraction,global,5.0,5.0,S3,S5,0.1196500787695119,0.00027863255932682673,257.3485286229195,1.6995378431200368e-54,4.532100914986765e-54,ok,global,,,,,,,
11q13 Invasive Tumor Cells,n_cells,global,5.0,5.0,S1,S4,598.12,0.4212121212121212,227.70748016518397,4.1123879711406464e-48,1.0280969927851615e-47,ok,global,,,,,,,
11q13 Invasive Tumor Cells (G1/S),fraction,global,5.0,5.0,S1,S5,0.02518529617846794,7.586102260658475e-05,227.20230170153056,5.28245768205596e-48,1.242931219307285e-47,ok,global,,,,,,,
"CAFs, DCIS Associated",n_cells,global,5.0,5.0,S4,S2,53.415151515151514,1.581981981981982,223.62852023219887,3.1049015413215557e-47,6.89978120293679e-47,ok,global,,,,,,,
Basal-like Structured DCIS Cells,n_cells,global,5.0,5.0,S1,S5,48.35,1.6451612903225807,157.5935549806354,4.797110223275684e-33,1.0099179417422492e-32,ok,global,,,,,,,
Basal-like Structured DCIS Cells,fraction,global,5.0,5.0,S2,S5,0.165110733363356,0.013348297155907175,157.27304282293994,5.619594209952075e-33,1.123918841990415e-32,ok,global,,,,,,,
Myoepithelial Cells,n_cells,global,5.0,5.0,S4,S2,19.342424242424244,0.8252252252252252,150.59919161872074,1.514688359262347e-31,2.8851206843092327e-31,ok,global,,,,,,,
T Lymphocytes,fraction,global,5.0,5.0,S2,S1,0.30580621314218637,0.0007831287842900265,137.7021610899509,8.760497599587618e-29,1.5928177453795672e-28,ok,global,,,,,,,
"CAFs, Invasive Associated",n_cells,global,5.0,5.0,S1,S4,11.15,0.2727272727272727,125.17931849278472,4.1787160660215145e-26,7.267332288733069e-26,ok,global,,,,,,,
Myeloid Cells,n_cells,global,5.0,5.0,S1,S5,1.46,0.0967741935483871,122.7334646401143,1.3922581566844414e-25,2.3204302611407354e-25,ok,global,,,,,,,
Myeloid Cells,fraction,global,5.0,5.0,S3,S5,0.02714590043972934,0.00030073348702041675,84.52667903121525,1.9115466508549688e-17,3.05847464136795e-17,ok,global,,,,,,,
Dendritic Cells,fraction,global,5.0,5.0,S2,S5,0.13649365356177207,0.010402233421219346,74.01458982983195,3.2196079347289508e-15,4.9532429765060785e-15,ok,global,,,,,,,
Myoepithelial Cells,fraction,global,5.0,5.0,S4,S2,0.13444226100331713,0.01876272567115958,72.11588858728221,8.111759921279124e-15,1.2017422105598701e-14,ok,global,,,,,,,
Dendritic Cells,n_cells,global,5.0,5.0,S1,S4,5.63,1.4181818181818182,65.79832856726452,1.7468816549274293e-13,2.495545221324899e-13,ok,global,,,,,,,
Mast Cells,n_cells,global,5.0,5.0,S4,S2,0.4090909090909091,0.09009009009009009,64.38801889639048,3.46241451382783e-13,4.775744157003903e-13,ok,global,,,,,,,
Apocrine Cells,n_cells,global,5.0,5.0,S4,S3,1.1545454545454545,0.010676156583629894,60.08563896873841,2.783110415235938e-12,3.7108138869812506e-12,ok,global,,,,,,,
"CAFs, Invasive Associated",fraction,global,5.0,5.0,S1,S5,0.08154202054515691,0.0005449648682535209,55.19743080762732,2.9537702937155923e-11,3.811316508020119e-11,ok,global,,,,,,,
Apocrine Cells,fraction,global,5.0,5.0,S5,S3,0.02413996720969152,0.00044784775728671844,54.68590967710579,3.78051285780363e-11,4.7256410722545376e-11,ok,global,,,,,,,
T Lymphocytes,n_cells,global,5.0,5.0,S2,S5,8.583783783783783,0.5806451612903226,45.90773846889944,2.574168239063096e-09,3.120203926137086e-09,ok,global,,,,,,,
Mast Cells,fraction,global,5.0,5.0,S3,S1,0.011081144485825865,4.8491669826384585e-05,40.60491657970996,3.244771503797706e-08,3.817378239762007e-08,ok,global,,,,,,,
B Cells,fraction,global,5.0,5.0,S2,S1,0.0930850548243062,0.0006549757654305975,33.84427924031967,8.020436362313064e-07,9.166212985500644e-07,ok,global,,,,,,,
Plasma Cells,n_cells,global,5.0,5.0,S4,S1,1.5454545454545454,0.21,33.37509494413782,1.0008242847645593e-06,1.1120269830717325e-06,ok,global,,,,,,,
B Cells,n_cells,global,5.0,5.0,S2,S5,2.145945945945946,0.2903225806451613,29.96993081338339,4.96391016397437e-06,5.366389366458778e-06,ok,global,,,,,,,
Plasma Cells,fraction,global,5.0,5.0,S4,S1,0.011404802265630995,0.00021791292515208947,14.19810542198219,0.00668890158836802,0.007040949040387389,ok,global,,,,,,,
Unassigned,n_cells,global,5.0,5.0,S4,S1,0.00909090909090909,0.0,3.516298256952227,0.47540449004482965,0.4875943487639279,ok,global,,,,,,,
Unassigned,fraction,global,5.0,5.0,S3,S1,1.0906258324225692e-05,0.0,2.591400784989786,0.6283471908388283,0.6283471908388283,ok,global,,,,,,,
Luminal-like Amorphous DCIS Cells,n_cells,pairwise,,,,,,,1681.5,1.2791737403636612e-89,5.116694961454645e-87,ok,pairwise,S2,S5,555.0,31.0,0.02882882882882883,256.7741935483871,-256.74536471955827
Pericytes,n_cells,pairwise,,,,,,,71830.5,2.2854673762566494e-74,4.570934752513299e-72,ok,pairwise,S2,S3,555.0,562.0,0.6288288288288288,10.597864768683275,-9.969035939854447
Endothelial Cells,n_cells,pairwise,,,,,,,72501.5,1.3997073335389677e-72,1.8662764447186236e-70,ok,pairwise,S2,S3,555.0,562.0,0.9477477477477477,10.983985765124554,-10.036238017376807
Luminal-like Amorphous DCIS Cells,fraction,pairwise,,,,,,,169.0,4.8843830777972394e-67,4.884383077797239e-65,ok,pairwise,S2,S5,334.0,26.0,0.0008991335917114372,0.86364841726621,-0.8627492836744985
Endothelial Cells,fraction,pairwise,,,,,,,28748.0,6.648844845407102e-64,5.319075876325681e-62,ok,pairwise,S2,S3,334.0,486.0,0.010604231108778976,0.1559209611358662,-0.14531673002708723
Pericytes,fraction,pairwise,,,,,,,29632.0,3.1440245990320577e-62,2.0960163993547052e-60,ok,pairwise,S2,S3,334.0,486.0,0.013549200843770563,0.14361128106202325,-0.1300620802182527
CXCL14+ Fibroblasts,n_cells,pairwise,,,,,,,82066.0,5.455452899227511e-61,3.1174016567014347e-59,ok,pairwise,S2,S3,555.0,562.0,0.409009009009009,5.2562277580071175,-4.847218748998109
Pericytes,n_cells,pairwise,,,,,,,143571.5,1.0422648125550453e-52,5.2113240627752264e-51,ok,pairwise,S3,S4,562.0,330.0,10.597864768683275,5.115151515151515,5.4827132535317595
Endothelial Cells,n_cells,pairwise,,,,,,,142798.0,1.0706762718481716e-50,4.758561208214096e-49,ok,pairwise,S3,S4,562.0,330.0,10.983985765124554,5.7727272727272725,5.211258492397282
Macrophages,n_cells,pairwise,,,,,,,89078.5,8.406558800016648e-50,3.362623520006659e-48,ok,pairwise,S2,S3,555.0,562.0,0.9063063063063063,4.47153024911032,-3.565223942804014
