group_a,group_b,boundary_pair_count,boundary_shared_length_um,enclosure_pair_count,enclosure_inner_boundary_length_um,total_adjacency_length_um
S3,S4,557,169685.56730280418,133,80123.00712226218,249808.57442506636
S1,S3,323,101743.96963546416,24,14576.789011925486,116320.75864738965
S2,S3,672,61709.20641180116,17,2671.376605348045,64380.583017149205
S1,S2,319,33515.63266161214,25,8347.356906261606,41862.989567873745
S2,S4,374,20373.064893349485,38,4923.01398662503,25296.078879974513
S4,S5,43,6750.127889181267,15,9422.383313060516,16172.511202241783
S1,S4,163,10859.161126886227,1,61.08572672181445,10920.246853608041
S3,S5,75,10650.074555513462,1,266.9020592468674,10916.97661476033
S2,S5,12,554.2776083137028,0,0.0,554.2776083137028
S1,S5,0,0.0,0,0.0,0.0
