gene,comparison,n_groups,n_tested_groups,n_contours,top_group,bottom_group,max_mean_log1p_cpm,min_mean_log1p_cpm,delta_log1p_cpm,top_group_mean_cpm,top_group_mean_density_per_um2,bottom_group_mean_density_per_um2,delta_mean_density_per_um2,statistic,p_value,fdr,status
EGFL7,global,5,5,1139,S3,S4,4.804680036977798,1.3373785508474905,3.4673014861303075,423.3019194568631,0.001985846954159513,0.0003161725093621074,0.0016696744447974056,432.0278640615769,3.3329509376830505e-92,6.008643950455004e-88,ok
SHANK3,global,5,5,1139,S3,S4,4.120308479753335,0.9482921038334653,3.17201637591987,268.3937208347557,0.0016283810643587322,0.0001488539005216621,0.0014795271638370702,362.2144355451709,4.0407487550826424e-77,2.4842733604391444e-73,ok
EPAS1,global,5,5,1139,S3,S2,5.794905345432286,2.7121184307161097,3.0827869147161766,1041.057805482061,0.005360359202321767,0.001334764013315798,0.00402559518900597,362.1685405612799,4.134024895339157e-77,2.4842733604391444e-73,ok
CD36,global,5,5,1139,S3,S4,4.480043116218832,1.130894520905774,3.349148595313058,357.4223505375342,0.001782463387325118,0.0001727424387244915,0.0016097209486006265,361.15154024312227,6.854840683361692e-77,3.0894766959911146e-73,ok
VWF,global,5,5,1139,S3,S4,5.020628661297834,1.5442359389718812,3.4763927223259525,834.6454251524909,0.0038910591999415504,0.00029587900690919536,0.003595180193032355,352.2959670769821,5.600656844467242e-75,2.0193728318411086e-71,ok
KDR,global,5,5,1139,S3,S4,4.226675700107819,1.2200049354105766,3.006670764697242,309.2911277209323,0.00188126326524164,0.00032507620852530693,0.0015561870567163331,330.38267889748926,3.012459433562762e-70,9.05143644471158e-67,ok
CDH5,global,5,5,1139,S3,S2,3.863934148367407,1.0903173994930502,2.773616748874357,210.98984589426865,0.0011290523902118639,0.00021933124335644566,0.0009097211468554182,320.56802131695275,3.954849381229491e-68,1.0185432092115039e-64,ok
PECAM1,global,5,5,1139,S3,S4,5.157117191056077,1.996843705447373,3.160273485608704,633.3939601527172,0.00293507902531468,0.0004599291159983755,0.002475149909316305,315.9159670587145,3.990264877394641e-67,8.992061901208823e-64,ok
CLEC14A,global,5,5,1139,S3,S4,3.634574343703689,0.8446227302755633,2.7899516134281255,178.8335438700119,0.0009642938654709342,5.018741582537839e-05,0.0009141064496455558,314.5552882526095,7.845246731497956e-67,1.5714900897271686e-63,ok
APOLD1,global,5,5,1139,S3,S4,4.205788849971568,1.4730836486737149,2.732705201297853,300.4484284315552,0.0016838817363918701,0.000648594708980754,0.001035287027411116,310.2270653216589,6.737352157696076e-66,1.2146098469894486e-62,ok
LAMB1,global,5,5,1139,S4,S5,6.37457838349561,2.973720172933558,3.400858210562052,1728.3651770992174,0.0073506561038712455,0.0006342475595373178,0.006716408544333928,307.81488542974404,2.2331566541644234e-65,3.6599407419342023e-62,ok
ARHGEF15,global,5,5,1139,S3,S4,3.3567830271877543,0.8098951870716988,2.5468878401160557,125.0169636069315,0.0007614261938163977,6.518108966494352e-05,0.0006962451041514541,304.15816909781535,1.373436623343164e-64,2.0633596204692134e-61,ok
EMCN,global,5,5,1139,S3,S4,3.8503442402682073,1.0435189068906265,2.8068253333775806,192.95492797093976,0.000997506138104302,8.23014986431847e-05,0.0009152046394611174,303.9283919499202,1.5394941022605763e-64,2.1349230519656667e-61,ok
ESAM,global,5,5,1139,S3,S4,3.5595452147531295,0.9494036156148433,2.610141599138286,150.14248799271388,0.0008756707086003197,0.00010159605558621447,0.0007740746530141053,296.1097818263408,7.480387376514047e-63,9.632601687413946e-60,ok
RAMP2,global,5,5,1139,S3,S2,4.079921829103637,1.4163379232337847,2.663583905869852,254.81856591989884,0.0013263714069281759,0.00036616296774769086,0.000960208439180485,292.16730809034533,5.299556938277489e-62,6.369360832217771e-59,ok
PDE2A,global,5,5,1139,S3,S4,2.989477233079108,0.6034176428218478,2.3860595902572603,116.48669988536523,0.0005181155362698263,4.0544445826422997e-05,0.0004775710904434033,291.00588791935127,9.434539117901777e-62,1.0630366951095828e-58,ok
PTPRB,global,5,5,1139,S3,S4,3.4609377994703863,1.0773705200969088,2.3835672793734775,143.1178429539356,0.0008137680779148795,0.0001845255470116066,0.0006292425309032729,284.7252690095269,2.133680452954834e-60,2.262705365051162e-57,ok
COL6A2,global,5,5,1139,S4,S5,6.70610347033428,2.479786828228036,4.2263166421062435,1783.5300729558712,0.00879762517141226,0.0003958232059213971,0.008401801965490863,284.2615091472553,2.686151731166956e-60,2.690330189415438e-57,ok
COL6A1,global,5,5,1139,S4,S5,6.847481940354031,3.1553203112949526,3.6921616290590786,1946.1398412778915,0.01002831731672067,0.0007230453964502626,0.009305271920270409,283.3443245557819,4.235463336287918e-60,4.018785948768346e-57,ok
HOXD9,global,5,5,1139,S3,S2,3.3415577907110205,0.9000606654630976,2.441497125247923,149.3342446929058,0.0009902051410609776,0.00020641693978555868,0.000783788201275419,283.12835140301996,4.714873715962818e-60,4.0887628207103284e-57,ok
PLVAP,global,5,5,1139,S3,S4,3.567618751112347,0.8341460038580247,2.7334727472543223,185.73271258497434,0.001039154161623777,0.00011066049012205367,0.0009284936715017232,283.1079751991661,4.7628144683224373e-60,4.0887628207103284e-57,ok
NOSTRIN,global,5,5,1139,S5,S2,4.003838611221079,1.015201145081497,2.988637466139582,74.91922815093027,0.0014954598933313073,0.00018230700145839942,0.001313152891872908,282.83980350520727,5.441112674735089e-60,4.458744513642009e-57,ok
ADGRF5,global,5,5,1139,S3,S4,3.3151518812675036,0.9787766752820088,2.3363752059854948,122.40250382240075,0.0008321839921939291,0.00020035179459147485,0.0006318321976024543,273.6714081710981,5.156683982645473e-58,4.041943427788373e-55,ok
MMRN2,global,5,5,1139,S3,S2,3.4741212854166084,1.0214335324252777,2.4526877529913307,160.23970114129477,0.0007383626445066224,0.00018532972744819993,0.0005530329170584225,270.8448697013651,2.0973437439174738e-57,1.5754547089726758e-54,ok
RGS5,global,5,5,1139,S3,S2,3.528199568666327,1.1651236211348404,2.3630759475314864,155.58755672349426,0.0010096277580194269,0.00021601704846127835,0.0007936107095581485,268.8694941489927,5.590636692079684e-57,4.031519931392502e-54,ok
RASIP1,global,5,5,1139,S3,S4,3.5076318335009016,1.1833448574015453,2.3242869760993563,158.54119668026078,0.0007172391826574981,0.0003039895026091145,0.0004132496800483836,262.57661611144596,1.2697953575265468e-55,8.804565655957148e-53,ok
MYCT1,global,5,5,1139,S3,S4,3.3425454521884714,0.9820220499625087,2.3605234022259625,133.18396607482936,0.0006661818378387345,7.386526582392026e-05,0.0005923165720148143,261.52671514762375,2.1379129772595262e-55,1.4274924131123977e-52,ok
CD93,global,5,5,1139,S3,S4,3.546954217325602,1.0798682500826506,2.4670859672429515,151.53519136724637,0.0007845209957501529,9.041328873306516e-05,0.0006941077070170878,258.7205165127577,8.603969730811214e-55,5.5397273681094496e-52,ok
ADGRL4,global,5,5,1139,S3,S4,3.425322659610459,0.9901633010319685,2.4351593585784905,142.0946912859355,0.0007533057498978295,7.330940885741803e-05,0.0006799963410404115,258.46850212338444,9.749966149418188e-55,6.06111688764521e-52,ok
FAM83E,global,5,5,1139,S5,S2,1.2707172777338387,0.04640826758206148,1.2243090101517773,4.7207308265556485,8.666115614942449e-05,1.6716026761910339e-06,8.498955347323345e-05,256.52034306995415,2.5631851737178723e-54,1.4770492623494554e-51,ok
AQP1,global,5,5,1139,S3,S4,3.5917860929699703,0.9787560354128746,2.6130300575570957,214.4747133969381,0.0010495575576207833,0.000291079329660857,0.0007584782279599263,256.5067564266708,2.580521366191025e-54,1.4770492623494554e-51,ok
LRRC56,global,5,5,1139,S1,S4,1.3835403177360517,0.1415521641644717,1.24198815357158,4.508512875279103,9.708390622764297e-05,0.00013787220295207966,-4.078829672443669e-05,256.4747796240949,2.621787019923595e-54,1.4770492623494554e-51,ok
AEBP1,global,5,5,1139,S4,S5,6.6322081733050195,2.9484024184347226,3.683805754870297,2000.4116374008022,0.008564019508075867,0.0005719746306609648,0.007992044877414901,256.17122420336653,3.0479180894861183e-54,1.6650868884016893e-51,ok
RAB6C,global,5,5,1139,S1,S4,2.0786515588344208,0.11927748273281961,1.9593740761016012,11.137256396333717,0.0002359694123006609,1.1805492266275919e-05,0.00022416392003438498,255.63136217763636,3.9840404257795825e-54,2.1124788469398327e-51,ok
SPDEF,global,5,5,1139,S5,S4,5.365194329735504,0.7549189075018456,4.6102754222336575,223.23264687412725,0.004102939557797437,0.0005468974804979934,0.0035560420772994435,254.96980770953763,5.53174094699604e-54,2.849320736926989e-51,ok
TEK,global,5,5,1139,S3,S4,3.001339704884241,0.8216610486963212,2.17967865618792,87.66550812982463,0.00041986169858565823,6.403334397812684e-05,0.00035582835460753136,254.43043853578683,7.228893678425007e-54,3.620069312073501e-51,ok
ENG,global,5,5,1139,S3,S2,4.797063980417833,2.3224433439519165,2.4746206364659162,457.8220313486165,0.002500220018077295,0.0009675295218285105,0.0015326904962487844,254.1739102247018,8.2099700824309e-54,4.0002524498936285e-51,ok
TMEM238,global,5,5,1139,S5,S4,2.197284489328383,0.13313963740445478,2.064144851923928,12.660586959160867,0.00024446256874938047,7.464745586950914e-06,0.00023699782316242954,254.01406903779412,8.887499353349612e-54,4.2164167984786006e-51,ok
PLPP3,global,5,5,1139,S4,S2,5.724713404521518,3.280160618136186,2.444552786385332,926.4020276456446,0.005026255565023449,0.00241702870198799,0.002609226863035459,252.48728849006858,1.8954748561039025e-53,8.761954027138757e-51,ok
EXOSC5,global,5,5,1139,S5,S4,0.7343887651850405,0.047393288242260384,0.6869954769427801,1.8121590067124724,3.80230229324425e-05,1.4948822134269658e-06,3.6528140719015535e-05,248.77723188519448,1.1939017620124709e-52,5.380915241390206e-50,ok
UCN,global,5,5,1139,S5,S4,0.6360351070033761,0.06893644452213314,0.567098662481243,1.369029659331551,2.2607927947062048e-05,5.686137546821639e-07,2.2039314192379884e-05,246.33894730782117,4.001216889723237e-52,1.7593643436080615e-49,ok
MAPK15,global,5,5,1139,S5,S2,0.5592847043036112,0.031243976629880824,0.5280407276737303,1.174762458118363,2.3838847477287136e-05,1.0656743610807649e-06,2.277317311620637e-05,245.88368888933462,5.014796539494237e-52,2.1525417146190977e-49,ok
