axis_pool,cluster,radius_um,coh_median,coh_q25,coh_q75,coh_n_cells,neigh_median,neigh_q25,neigh_q75,neigh_n_cells,ANE_median,ANE_q25,ANE_q75,ANE_density_median,ANE_density_q25,ANE_density_q75
S1_CAF,"CAFs, Invasive Associated",5.0,0.9847078607760534,0.9632064423783584,0.9980909694552654,48,0.0,0.0,0.0,2493,0.9847078607760534,0.9632064423783584,0.9980909694552654,0.012537689883516383,0.012263925321797967,0.012708088915534994
S1_CAF,"CAFs, Invasive Associated",10.0,0.961127393518195,0.8850926988752337,0.9925976189609749,324,0.0,0.0,0.0,2493,0.9666941358729478,0.8854346019322414,0.9959205671313036,0.003077083003642559,0.002818425873642418,0.0031701136237166153
S1_CAF,"CAFs, Invasive Associated",20.0,0.9512729127742262,0.8572845723256922,0.9854676439049315,1037,0.0,0.0,1.0,2493,0.9887423450355364,0.9115772727052289,1.74939009036449,0.0007868161582833896,0.0007254101448063294,0.0013921204013874302
S1_CAF,"CAFs, Invasive Associated",30.0,0.9312696061666095,0.8079418993721424,0.9783858440724544,1539,1.0,0.0,2.0,2493,0.9997413863469797,0.9360744236030683,1.990397185424297,0.0003535861854459247,0.0003310686035962779,0.0007039590017254948
S1_CAF,"CAFs, Invasive Associated",50.0,0.8838555047558592,0.7132217343265529,0.9598518221986022,2066,2.0,1.0,4.0,2493,1.9488502643782177,0.9903931258324233,3.4101189707887123,0.00024813532233739237,0.00012610076926437096,0.00043418983258597616
S1_CAF,"CAFs, Invasive Associated",75.0,0.8261810842223272,0.6325066640295729,0.926782843702901,2310,4.0,2.0,6.0,2493,3.044297696253624,1.699813265900432,4.921152364115002,0.00017227200945850083,9.618975416932692e-05,0.0002784802575848069
S1_CAF,"CAFs, Invasive Associated",100.0,0.7734397638533255,0.5791781656714353,0.8870411948948839,2390,6.0,3.0,9.0,2493,4.269868860247636,2.25677552032244,6.797472554533023,0.0001359141470925137,7.183539590162009e-05,0.00021637027151708474
S1_CAF,"CAFs, Invasive Associated",150.0,0.687384875618178,0.5288797427293235,0.8140250194843213,2450,11.0,6.0,17.0,2493,6.8503143831663404,3.9998333433659283,11.02761238223563,9.691212407239388e-05,5.658606650137509e-05,0.00015600880187859482
S1_CAF,"CAFs, Invasive Associated",200.0,0.6264486825593342,0.496470557015248,0.746244471081923,2469,17.0,10.0,26.0,2493,9.840663702263738,6.124223720420066,15.850014703275374,7.830951357601327e-05,4.873502388527456e-05,0.00012613040940527483
S1_CAF,"CAFs, Invasive Associated",300.0,0.5667030074353948,0.4731178289533805,0.656951693700681,2477,34.0,20.0,50.0,2493,18.385285805609247,11.134138204350487,28.944315501513547,6.502464702488824e-05,3.9378958495348874e-05,0.00010236957525505005
S1_CAF,"CAFs, Invasive Associated",400.0,0.5445976541451691,0.466288443738448,0.6122961476191435,2482,60.0,34.0,82.0,2493,30.325317482896452,18.457233914478756,44.68126981056057,6.033030222792555e-05,3.671950016615834e-05,8.889056192466736e-05
S1_CAF,"CAFs, Invasive Associated",500.0,0.5325201797167024,0.4658689934981566,0.5932693339010974,2487,90.0,53.0,120.0,2493,44.57260831538828,27.51002275589121,64.32078502717607,5.67516075191437e-05,3.502684884936489e-05,8.189576704500993e-05
