gene,n_cells,n_nonzero_cells,spearman_rho,p_value,mean_expression,tumor_enriched
EPCAM,82303,67829,-0.08340289238275139,5.935535642626261e-127,3.102511451587427,False
KRT8,82303,19872,-0.00259680213292196,0.45628773616303575,0.31486094067044945,False
KRT18,82303,35448,0.029626691134563836,1.8765697631755606e-17,0.7113956963901681,False
KRT19,82303,23458,0.10702901034869697,3.2483454808332993e-208,0.4235811574304703,False
KRT5,82303,6088,-0.05144138105157269,2.3801407262360342e-49,0.09864767991446241,False
KRT14,82303,608,-0.00343220403313701,0.3248030080237773,0.007824745149022514,False
ERBB2,82303,6094,0.025377808690455788,3.299462492604439e-13,0.08518523018601995,False
MKI67,82303,11208,-0.11969396846953143,2.99424518383184e-260,0.33044967984156104,False
MMP11,82303,838,-0.030751501233174352,1.1034656677963595e-18,0.011226808257293172,False
MUC1,82303,29462,0.1539442316592249,0.0,1.8428975857502157,False
NIBAN1,82303,17686,0.2889451621648433,0.0,0.9109023972394688,False
SORL1,82303,10690,0.12392777944386608,5.623826886423335e-279,0.17468379038431162,False
