target_feature,image_feature,contour_id,assigned_structure,target_value,image_value,target_z_within_structure,image_z_within_structure,concordance_score,hidden_program_score,centroid_x,centroid_y,n_tiles,n_cells,recommended_figure_use
rna__ESR1__mean,embedding__359__mean,S3 S3 #424.1,S3,0.9272727272727272,-1.501953125,3.5291200804054603,-3.540709592299232,12.49558932106745,12.49558932106745,71141.39466761326,18647.59502887271,2.0,110,Extended Data morphomolecular validation case
rna__EPCAM__mean,embedding__103__mean,S3 S3 #163.1,S3,1.9719101123595506,-1.4404296875,3.728349455867639,-3.283682246418402,12.242714916676276,12.242714916676276,81151.57582370163,29631.432490046136,4.0,178,Extended Data morphomolecular validation case
program__wta_collagen_ecm_organization,embedding__262__mean,S1 S1 #2.1,S1,-0.18548277120402662,0.249755859375,3.7420637380912387,2.83883862287282,10.62311506894525,10.62311506894525,86973.94007245841,36530.321733636796,2.0,200,Figure 3 invasive-front or stromal remodeling candidate
rna__SLC2A1__mean,embedding__379__mean,S3 S3 #163.1,S3,0.398876404494382,-1.51171875,4.250673873644363,-2.4364561096955466,10.356580329764045,10.356580329764045,81151.57582370163,29631.432490046136,4.0,178,Figure 2 hero contour: H&E-predicted metabolic stress
program__wta_collagen_ecm_organization,embedding__262__mean,S3 S3 #351.1,S3,-0.6138294151641667,-0.94677734375,-3.1467096685172216,-3.1704269402568066,9.976413106233565,9.976413106233565,74231.34231904491,38803.29412733782,10.0,138,Figure 3 invasive-front or stromal remodeling candidate
program__wta_epithelial_identity,embedding__103__mean,S3 S3 #163.1,S3,0.329571822275473,-1.4404296875,2.6301144292252965,-3.283682246418402,8.636460057295974,8.636460057295974,81151.57582370163,29631.432490046136,4.0,178,Extended Data morphomolecular validation case
program__wta_p53_apoptosis_stress,embedding__246__mean,S3 S3 #163.1,S3,0.24452934768009063,-1.0478515625,3.3389622798543583,-2.1500645760050667,7.178984518531972,7.178984518531972,81151.57582370163,29631.432490046136,4.0,178,Extended Data morphomolecular validation case
program__wta_luminal_estrogen_response,embedding__103__mean,S3 S3 #424.1,S3,0.9394653915970355,-0.61962890625,3.5308318191504537,-1.7945339828039464,6.336197687030967,6.336197687030967,71141.39466761326,18647.59502887271,2.0,110,Extended Data morphomolecular validation case
rna__SLC2A1__mean,embedding__379__mean,S3 S3 #424.1,S3,0.2727272727272727,-1.4443359375,2.502655645707689,-2.337995356983822,5.851197279793926,5.851197279793926,71141.39466761326,18647.59502887271,2.0,110,Figure 2 hero contour: H&E-predicted metabolic stress
program__wta_angiogenesis_endothelial,embedding__173__mean,S3 S3 #351.1,S3,-0.4403925633131095,-0.5947265625,-3.658014447565437,-1.5685978280091228,5.737953517277136,5.737953517277136,74231.34231904491,38803.29412733782,10.0,138,Extended Data morphomolecular validation case
rna__EPCAM__mean,embedding__103__mean,S3 S3 #424.1,S3,1.6727272727272726,-0.61962890625,3.035049495516944,-1.7945339828039464,5.446499459197129,5.446499459197129,71141.39466761326,18647.59502887271,2.0,110,Extended Data morphomolecular validation case
rna__KRT19__mean,embedding__379__mean,S1 S1 #56.1,S1,0.6619718309859155,-1.27734375,3.179571399000086,-1.64778551950075,5.239251709491083,5.239251709491083,76941.72075547386,39147.85083833212,8.0,568,Extended Data morphomolecular validation case
program__wta_luminal_estrogen_response,embedding__103__mean,S3 S3 #131.1,S3,0.4541796782488643,-0.9765625,2.085615766674323,-2.442105297915289,5.093293313211022,5.093293313211022,83352.62976888256,25212.288551073965,2.0,78,Extended Data morphomolecular validation case
program__wta_p53_apoptosis_stress,embedding__246__mean,S4 S4 #205.1,S4,0.03515831573571582,-0.1685791015625,1.9239304952865304,-2.446476560801027,4.706850861328808,4.706850861328808,75691.79850404772,6474.077031372716,2.0,197,Extended Data morphomolecular validation case
program__wta_angiogenesis_endothelial,embedding__173__mean,S3 S3 #188.1,S3,0.10309303691145152,-1.3642578125,-1.6795043804505432,-2.797805388944062,4.698926406379688,4.698926406379688,79752.58081205926,16172.83480326754,6.0,59,Extended Data morphomolecular validation case
program__wta_oxidative_phosphorylation,embedding__371__mean,S3 S3 #259.1,S3,-0.40954591995321415,-1.439453125,-2.7836499202162313,-1.6258137217235045,4.525696236762087,4.525696236762087,76836.26632114622,12730.792399649097,2.0,32,Extended Data morphomolecular validation case
program__wta_epithelial_identity,embedding__103__mean,S2 S2 #185.1,S2,2.030414175044097,-1.2548828125,2.693501707461948,-1.672397943105907,4.504606715311611,4.504606715311611,81881.70932518864,14401.071183578631,3.0,64,Extended Data morphomolecular validation case
rna__ESR1__mean,embedding__359__mean,S1 S1 #56.1,S1,2.573943661971831,-1.5009765625,2.108617080013526,-2.10778811387025,4.444518017956304,4.444518017956304,76941.72075547386,39147.85083833212,8.0,568,Extended Data morphomolecular validation case
program__wta_angiogenesis_endothelial,embedding__173__mean,S4 S4 #205.1,S4,0.034398765897054234,1.0810546875,2.393379798337399,1.7882140390121803,4.2798753560750775,4.2798753560750775,75691.79850404772,6474.077031372716,2.0,197,Extended Data morphomolecular validation case
program__wta_angiogenesis_endothelial,embedding__173__mean,S2 S2 #426.1,S2,-0.5636032186162707,-1.4775390625,-1.625758479377672,-2.5923427523528013,4.214523211090819,4.214523211090819,71740.68858240057,30281.973164300325,3.0,145,Extended Data morphomolecular validation case
program__wta_unfolded_protein_response,embedding__29__mean,S3 S3 #163.1,S3,0.17075690357146014,0.64794921875,2.4011154221867366,1.7423416273269936,4.18356335209278,4.18356335209278,81151.57582370163,29631.432490046136,4.0,178,Extended Data morphomolecular validation case
rna__TRAC__mean,embedding__51__mean,S4 S4 #278.1,S4,0.4411764705882353,-1.5869140625,1.7214291483783424,-2.3804605185403642,4.097794123179207,4.097794123179207,70100.05069919731,16507.120829373267,6.0,204,Figure 3 boundary/immune-exclusion candidate
program__wta_unfolded_protein_response,embedding__29__mean,S1 S1 #63.1,S1,0.36637527087674404,0.24853515625,-1.824422261288257,-2.1892027076599097,3.9940301543272674,3.9940301543272674,75690.65587543994,39688.102328055575,2.0,157,Extended Data morphomolecular validation case
program__wta_collagen_ecm_organization,embedding__262__mean,S3 S3 #424.1,S3,-0.34114702994992124,-0.5390625,-1.6894637863190465,-2.3158351939990176,3.912519695344484,3.912519695344484,71141.39466761326,18647.59502887271,2.0,110,Figure 3 invasive-front or stromal remodeling candidate
program__wta_epithelial_identity,embedding__103__mean,S3 S3 #351.1,S3,0.5119794239213545,-0.2252197265625,3.5666707625677208,-1.0789721089582736,3.8483382746475074,3.8483382746475074,74231.34231904491,38803.29412733782,10.0,138,Extended Data morphomolecular validation case
program__wta_luminal_estrogen_response,embedding__103__mean,S1 S1 #2.1,S1,1.079431253790658,-0.60693359375,-1.8886209195134627,2.0037676060421585,3.7843574186146314,3.7843574186146314,86973.94007245841,36530.321733636796,2.0,200,Extended Data morphomolecular validation case
program__wta_oxidative_phosphorylation,embedding__371__mean,S3 S3 #424.1,S3,0.1254632955256887,0.46875,1.974940014251713,1.8472990939144656,3.6483048988626114,3.6483048988626114,71141.39466761326,18647.59502887271,2.0,110,Extended Data morphomolecular validation case
program__wta_unfolded_protein_response,embedding__29__mean,S4 S4 #214.1,S4,-0.25116644050439213,-1.53515625,-1.559498758837386,-2.2634615800390625,3.5298655247470268,3.5298655247470268,75883.54310512601,32879.82330314825,2.0,51,Extended Data morphomolecular validation case
rna__KRT19__mean,embedding__379__mean,S3 S3 #163.1,S3,0.15168539325842698,-1.51171875,1.4360789018088413,-2.4364561096955466,3.4989432143170225,3.4989432143170225,81151.57582370163,29631.432490046136,4.0,178,Extended Data morphomolecular validation case
program__wta_luminal_estrogen_response,embedding__103__mean,S3 S3 #221.1,S3,0.3708319945344924,-0.673828125,1.837400319304884,-1.8928656052079944,3.4779518674104013,3.4779518674104013,78515.57752627431,25943.11564099783,3.0,132,Extended Data morphomolecular validation case
program__wta_p53_apoptosis_stress,embedding__246__mean,S3 S3 #424.1,S3,0.015806159417387205,-1.4873046875,1.1888174114170535,-2.86345211213214,3.4041217276616256,3.4041217276616256,71141.39466761326,18647.59502887271,2.0,110,Extended Data morphomolecular validation case
rna__SLC2A1__mean,embedding__379__mean,S2 S2 #303.1,S2,0.5949367088607594,-0.923828125,2.97229942302649,-1.1438261724560932,3.399793872433844,3.399793872433844,76558.02893008277,18919.918945555703,2.0,79,Figure 2 hero contour: H&E-predicted metabolic stress
program__wta_unfolded_protein_response,embedding__29__mean,S3 S3 #131.1,S3,0.08500502153992841,0.87109375,1.6138522679164264,2.1030196430580403,3.393963020422012,3.393963020422012,83352.62976888256,25212.288551073965,2.0,78,Extended Data morphomolecular validation case
program__wta_angiogenesis_endothelial,embedding__173__mean,S1 S1 #78.1,S1,-0.38089361153836115,0.55322265625,1.6532474865547135,2.021535717016207,3.3420988431376246,3.3420988431376246,70116.07752535256,31765.491497982446,4.0,279,Extended Data morphomolecular validation case
program__wta_oxidative_phosphorylation,embedding__371__mean,S3 S3 #163.1,S3,0.30336781726028017,-0.037841796875,3.557295311935261,0.9252534065489604,3.291399605468747,3.291399605468747,81151.57582370163,29631.432490046136,4.0,178,Extended Data morphomolecular validation case
program__wta_luminal_estrogen_response,embedding__103__mean,S3 S3 #163.1,S3,0.08796806023854034,-1.4404296875,0.9950110066449259,-3.283682246418402,3.2672999775108456,3.2672999775108456,81151.57582370163,29631.432490046136,4.0,178,Extended Data morphomolecular validation case
rna__TRAC__mean,embedding__51__mean,S3 S3 #266.1,S3,0.0196078431372549,1.681640625,-1.0840990151285848,3.010881854087855,3.264094052685171,3.264094052685171,76811.87267526807,26237.94281733831,2.0,51,Figure 3 boundary/immune-exclusion candidate
program__wta_p53_apoptosis_stress,embedding__246__mean,S3 S3 #498.1,S3,-0.2803233255583376,1.5341796875,-1.5949899381999029,2.041483525150448,3.2561456816158327,3.2561456816158327,67860.88576538769,13431.86134821075,3.0,29,Extended Data morphomolecular validation case
program__wta_unfolded_protein_response,embedding__29__mean,S3 S3 #259.1,S3,-0.2541519170290417,-1.7685546875,-1.4998492034085842,-2.1635566218041875,3.245008675742378,3.245008675742378,76836.26632114622,12730.792399649097,2.0,32,Extended Data morphomolecular validation case
rna__ESR1__mean,embedding__359__mean,S3 S3 #163.1,S3,0.3707865168539326,-1.4228515625,0.9506754955191864,-3.3959784170445806,3.228473464396319,3.228473464396319,81151.57582370163,29631.432490046136,4.0,178,Extended Data morphomolecular validation case
program__wta_angiogenesis_endothelial,embedding__173__mean,S4 S4 #214.1,S4,-0.5429046675184287,-1.8291015625,-1.708887005442535,-1.8627218938093144,3.1831812390840466,3.1831812390840466,75883.54310512601,32879.82330314825,2.0,51,Extended Data morphomolecular validation case
program__wta_unfolded_protein_response,embedding__29__mean,S4 S4 #78.1,S4,-0.25321846607693094,-1.4296875,-1.5778776931950862,-2.01393570758717,3.177744228530858,3.177744228530858,82657.8366797133,32663.26495621469,6.0,53,Extended Data morphomolecular validation case
