target_feature,r2_structure_only,r2_image_only,r2_structure_image,delta_r2_combined_over_structure,best_image_feature,best_partial_spearman_rho,best_association_fdr,hero_score,evidence_mode,storyline
rna__EPCAM__mean,0.8013601014566957,0.6601825624400248,0.7789891010042861,-0.022371000452409584,embedding__103__mean,-0.591999782709011,1.2514540964984828e-24,0.46116137852722516,within_structure_residual_association,epithelial tumor state
program__wta_luminal_estrogen_response,0.8146956746452556,0.6222874782902377,0.7454027607734295,-0.06929291387182612,embedding__103__mean,-0.5966828070613327,8.637357890793204e-25,0.44476901168955696,within_structure_residual_association,epithelial tumor state
rna__ESR1__mean,0.7710023343811099,0.5701860758383752,0.6761649369239287,-0.09483739745718123,embedding__359__mean,-0.55695221832588,1.410421575252566e-21,0.37659156157396084,within_structure_residual_association,epithelial tumor state
program__wta_epithelial_identity,0.708731484211721,0.4677139767517633,0.6261205785513493,-0.08261090566037177,embedding__103__mean,-0.4957976313355868,1.0952916558677352e-16,0.3104290997762262,within_structure_residual_association,epithelial tumor state
rna__SLC2A1__mean,0.6338367153704297,0.2680944017438881,0.45194567423604115,-0.1818910411343886,embedding__379__mean,-0.48703090212404226,4.459389108702815e-16,0.22011150943423766,within_structure_residual_association,metabolic stress / necrotic-hypoxic niche
program__wta_unfolded_protein_response,0.6478650829351806,0.2952529862999147,0.36795602310450704,-0.2799090598306736,embedding__29__mean,0.49102359432830267,2.2955218470285153e-16,0.18067508901952303,within_structure_residual_association,hidden within-structure molecular program
program__wta_p53_apoptosis_stress,0.6365008874611371,0.3393425772915102,0.4050545151102629,-0.23144637235087417,embedding__246__mean,-0.43877883177355775,8.12374896470103e-13,0.17772934694468606,within_structure_residual_association,hidden within-structure molecular program
program__wta_oxidative_phosphorylation,0.6943800908498217,0.23100910250413575,0.3582597385839311,-0.33612035226589054,embedding__371__mean,0.4848266849131066,6.579163737997346e-16,0.1736938813954835,within_structure_residual_association,hidden within-structure molecular program
rna__KRT19__mean,0.6056174979127502,0.012333454790528053,0.2884451045578743,-0.3171723933548759,embedding__379__mean,-0.4959330331806893,1.0868055345989991e-16,0.1430494556095077,within_structure_residual_association,epithelial tumor state
program__wta_collagen_ecm_organization,0.6062758853886132,-0.07797296130180831,0.3135398898891373,-0.29273599549947593,embedding__262__mean,0.3304112291126158,3.343321463006379e-07,0.10359710039410407,within_structure_residual_association,stromal remodeling / invasive-front biology
rna__TRAC__mean,0.33904861104567385,-0.22103085046374749,0.20293145937401957,-0.13611715167165428,embedding__51__mean,-0.41159189782881406,3.313269446216588e-11,0.0835249444929236,within_structure_residual_association,immune infiltration or exclusion
program__wta_angiogenesis_endothelial,0.6325937022460124,-0.2738883735149338,0.20088345561511334,-0.4317102466308991,embedding__173__mean,0.3014105663220297,4.828633105443772e-06,0.06054839612167763,within_structure_residual_association,vascular or perivascular niche
