dataset,model,program,molecular_feature,image_feature,assigned_structure_filter,reported_partial_rho,perturbation,dx_px,dy_px,rotation_deg,scale,base_partial_spearman_rho,base_n_contours,perturbed_partial_spearman_rho,perturbed_n_contours,delta_from_base,sign_matches_base,assignment_fraction,n_assigned_tiles,n_total_tiles
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,identity,0.0,0.0,0.0,1.0,-0.6518850249169947,157,-0.6519933437709436,157,-0.0001083188539489,True,0.9996789727126806,3114,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,identity,0.0,0.0,0.0,1.0,0.5231042749349548,157,0.5231042749349548,157,0.0,True,0.9996789727126806,3114,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,identity,0.0,0.0,0.0,1.0,0.5362570920848087,157,0.5362604449100066,157,3.352825197922016e-06,True,0.9996789727126806,3114,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,shift_x_-32px,-32.0,0.0,0.0,1.0,-0.6518850249169947,157,-0.6271432770770057,156,0.024741747839989,True,1.0,3115,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,shift_x_-32px,-32.0,0.0,0.0,1.0,0.5231042749349548,157,0.5145070246747413,156,-0.0085972502602135,True,1.0,3115,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,shift_x_-32px,-32.0,0.0,0.0,1.0,0.5362570920848087,157,0.5071011949080998,156,-0.0291558971767088,True,1.0,3115,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,shift_x_-16px,-16.0,0.0,0.0,1.0,-0.6518850249169947,157,-0.6571078616684011,154,-0.0052228367514063,True,1.0,3115,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,shift_x_-16px,-16.0,0.0,0.0,1.0,0.5231042749349548,157,0.5195440172397259,154,-0.0035602576952289,True,1.0,3115,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,shift_x_-16px,-16.0,0.0,0.0,1.0,0.5362570920848087,157,0.5704146910976101,154,0.0341575990128014,True,1.0,3115,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,shift_x_-8px,-8.0,0.0,0.0,1.0,-0.6518850249169947,157,-0.6481411337363691,155,0.0037438911806256,True,1.0,3115,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,shift_x_-8px,-8.0,0.0,0.0,1.0,0.5231042749349548,157,0.5206004781085193,155,-0.0025037968264355,True,1.0,3115,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,shift_x_-8px,-8.0,0.0,0.0,1.0,0.5362570920848087,157,0.546298929205467,155,0.0100418371206583,True,1.0,3115,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,shift_x_+8px,8.0,0.0,0.0,1.0,-0.6518850249169947,157,-0.6569615204863556,156,-0.0050764955693608,True,1.0,3115,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,shift_x_+8px,8.0,0.0,0.0,1.0,0.5231042749349548,157,0.5211377813621048,156,-0.00196649357285,True,1.0,3115,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,shift_x_+8px,8.0,0.0,0.0,1.0,0.5362570920848087,157,0.5371364239040795,156,0.0008793318192708,True,1.0,3115,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,shift_x_+16px,16.0,0.0,0.0,1.0,-0.6518850249169947,157,-0.6498220901707836,159,0.0020629347462111,True,1.0,3115,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,shift_x_+16px,16.0,0.0,0.0,1.0,0.5231042749349548,157,0.4924926461265932,159,-0.0306116288083616,True,1.0,3115,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,shift_x_+16px,16.0,0.0,0.0,1.0,0.5362570920848087,157,0.5179836158607509,159,-0.0182734762240577,True,1.0,3115,3115
breast,plip,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,-0.638984976735276,shift_x_+32px,32.0,0.0,0.0,1.0,-0.6518850249169947,157,-0.6395361247998385,161,0.0123489001171562,True,1.0,3115,3115
breast,plip,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,0.5154375113360024,shift_x_+32px,32.0,0.0,0.0,1.0,0.5231042749349548,157,0.5187738717277259,161,-0.0043304032072288,True,1.0,3115,3115
breast,plip,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,0.5311278430822853,shift_x_+32px,32.0,0.0,0.0,1.0,0.5362570920848087,157,0.5108232509218593,161,-0.0254338411629493,True,1.0,3115,3115
