dataset,model,program,molecular_feature,image_feature,assigned_structure_filter,filter_name,n_tiles_min,n_cells_min,n_contours,partial_spearman_rho,abs_partial_spearman_rho,reported_partial_rho
breast,PLIP,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,full_set,,,157,-0.6518850249169947,0.6518850249169947,-0.638984976735276
breast,PLIP,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,n_tiles_ge_2,2.0,,95,-0.6328865903327562,0.6328865903327562,-0.638984976735276
breast,PLIP,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,n_tiles_ge_3,3.0,,62,-0.6232458248532043,0.6232458248532043,-0.638984976735276
breast,PLIP,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,n_cells_ge_20,,20.0,124,-0.6277418241937759,0.6277418241937759,-0.638984976735276
breast,PLIP,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,n_cells_ge_50,,50.0,91,-0.6450901283478621,0.6450901283478621,-0.638984976735276
breast,PLIP,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,S3,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,49,-0.6563586019436534,0.6563586019436534,-0.638984976735276
breast,PLIP,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,full_set,,,157,0.5231042749349548,0.5231042749349548,0.5154375113360024
breast,PLIP,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,n_tiles_ge_2,2.0,,95,0.4742568267279152,0.4742568267279152,0.5154375113360024
breast,PLIP,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,n_tiles_ge_3,3.0,,62,0.4915657871768501,0.4915657871768501,0.5154375113360024
breast,PLIP,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,n_cells_ge_20,,20.0,124,0.5633763124944443,0.5633763124944443,0.5154375113360024
breast,PLIP,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,n_cells_ge_50,,50.0,91,0.6234748079703234,0.6234748079703234,0.5154375113360024
breast,PLIP,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,S3,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,49,0.6719403432951966,0.6719403432951966,0.5154375113360024
breast,PLIP,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,full_set,,,157,0.5362570920848087,0.5362570920848087,0.5311278430822853
breast,PLIP,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,n_tiles_ge_2,2.0,,95,0.5745829551040359,0.5745829551040359,0.5311278430822853
breast,PLIP,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,n_tiles_ge_3,3.0,,62,0.5429021702886606,0.5429021702886606,0.5311278430822853
breast,PLIP,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,n_cells_ge_20,,20.0,124,0.5761428971059293,0.5761428971059293,0.5311278430822853
breast,PLIP,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,n_cells_ge_50,,50.0,91,0.5995423662072962,0.5995423662072962,0.5311278430822853
breast,PLIP,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,S3,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,49,0.6467430110355494,0.6467430110355494,0.5311278430822853
cervical,PLIP,myofibroblast_caf_activation,program__wta_myofibroblast_caf_activation,embedding__333__mean,,full_set,,,215,-0.5546367783538496,0.5546367783538496,-0.5546367783538505
cervical,PLIP,myofibroblast_caf_activation,program__wta_myofibroblast_caf_activation,embedding__333__mean,,n_tiles_ge_2,2.0,,120,-0.5554846097574905,0.5554846097574905,-0.5546367783538505
cervical,PLIP,myofibroblast_caf_activation,program__wta_myofibroblast_caf_activation,embedding__333__mean,,n_tiles_ge_3,3.0,,83,-0.6153899567117279,0.6153899567117279,-0.5546367783538505
cervical,PLIP,myofibroblast_caf_activation,program__wta_myofibroblast_caf_activation,embedding__333__mean,,n_cells_ge_20,,20.0,209,-0.5728789851305081,0.5728789851305081,-0.5546367783538505
cervical,PLIP,myofibroblast_caf_activation,program__wta_myofibroblast_caf_activation,embedding__333__mean,,n_cells_ge_50,,50.0,195,-0.5638512620835229,0.5638512620835229,-0.5546367783538505
cervical,PLIP,myofibroblast_caf_activation,program__wta_myofibroblast_caf_activation,embedding__333__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,82,-0.6098419083348898,0.6098419083348898,-0.5546367783538505
cervical,PLIP,emt_invasive_front,program__wta_emt_invasive_front,embedding__73__mean,,full_set,,,215,0.5519909003397799,0.5519909003397799,0.5519909003397802
cervical,PLIP,emt_invasive_front,program__wta_emt_invasive_front,embedding__73__mean,,n_tiles_ge_2,2.0,,120,0.4986337782284758,0.4986337782284758,0.5519909003397802
cervical,PLIP,emt_invasive_front,program__wta_emt_invasive_front,embedding__73__mean,,n_tiles_ge_3,3.0,,83,0.4523996722952769,0.4523996722952769,0.5519909003397802
cervical,PLIP,emt_invasive_front,program__wta_emt_invasive_front,embedding__73__mean,,n_cells_ge_20,,20.0,209,0.5703241280512703,0.5703241280512703,0.5519909003397802
cervical,PLIP,emt_invasive_front,program__wta_emt_invasive_front,embedding__73__mean,,n_cells_ge_50,,50.0,195,0.5770900190867025,0.5770900190867025,0.5519909003397802
cervical,PLIP,emt_invasive_front,program__wta_emt_invasive_front,embedding__73__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,82,0.4573235600053539,0.4573235600053539,0.5519909003397802
cervical,PLIP,tls_adjacent_activation,program__wta_tls_adjacent_activation,embedding__66__mean,,full_set,,,215,0.5506295593223375,0.5506295593223375,0.550629559322338
cervical,PLIP,tls_adjacent_activation,program__wta_tls_adjacent_activation,embedding__66__mean,,n_tiles_ge_2,2.0,,120,0.4856165975573926,0.4856165975573926,0.550629559322338
cervical,PLIP,tls_adjacent_activation,program__wta_tls_adjacent_activation,embedding__66__mean,,n_tiles_ge_3,3.0,,83,0.4771586842187936,0.4771586842187936,0.550629559322338
cervical,PLIP,tls_adjacent_activation,program__wta_tls_adjacent_activation,embedding__66__mean,,n_cells_ge_20,,20.0,209,0.5333153511365375,0.5333153511365375,0.550629559322338
cervical,PLIP,tls_adjacent_activation,program__wta_tls_adjacent_activation,embedding__66__mean,,n_cells_ge_50,,50.0,195,0.5514631478364661,0.5514631478364661,0.550629559322338
cervical,PLIP,tls_adjacent_activation,program__wta_tls_adjacent_activation,embedding__66__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,82,0.4818178734924497,0.4818178734924497,0.550629559322338
cervical,PLIP,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__251__mean,,full_set,,,215,-0.5455068221700179,0.5455068221700179,-0.5455068221700174
cervical,PLIP,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__251__mean,,n_tiles_ge_2,2.0,,120,-0.552649944223786,0.552649944223786,-0.5455068221700174
cervical,PLIP,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__251__mean,,n_tiles_ge_3,3.0,,83,-0.5363448997807704,0.5363448997807704,-0.5455068221700174
cervical,PLIP,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__251__mean,,n_cells_ge_20,,20.0,209,-0.5484950587230074,0.5484950587230074,-0.5455068221700174
cervical,PLIP,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__251__mean,,n_cells_ge_50,,50.0,195,-0.5592145227688983,0.5592145227688983,-0.5455068221700174
cervical,PLIP,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__251__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,82,-0.52655396714969,0.52655396714969,-0.5455068221700174
cervical,PLIP,immune_exclusion,program__wta_immune_exclusion,embedding__156__mean,,full_set,,,215,0.5439280857319826,0.5439280857319826,0.543928085731983
cervical,PLIP,immune_exclusion,program__wta_immune_exclusion,embedding__156__mean,,n_tiles_ge_2,2.0,,120,0.5228108283410078,0.5228108283410078,0.543928085731983
cervical,PLIP,immune_exclusion,program__wta_immune_exclusion,embedding__156__mean,,n_tiles_ge_3,3.0,,83,0.4428185361957909,0.4428185361957909,0.543928085731983
cervical,PLIP,immune_exclusion,program__wta_immune_exclusion,embedding__156__mean,,n_cells_ge_20,,20.0,209,0.5509604763855749,0.5509604763855749,0.543928085731983
cervical,PLIP,immune_exclusion,program__wta_immune_exclusion,embedding__156__mean,,n_cells_ge_50,,50.0,195,0.5531120406728242,0.5531120406728242,0.543928085731983
cervical,PLIP,immune_exclusion,program__wta_immune_exclusion,embedding__156__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,82,0.4377037360104018,0.4377037360104018,0.543928085731983
cervical,PLIP,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__156__mean,,full_set,,,215,0.5407668005498536,0.5407668005498536,0.5407668005498537
cervical,PLIP,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__156__mean,,n_tiles_ge_2,2.0,,120,0.5387693778777912,0.5387693778777912,0.5407668005498537
cervical,PLIP,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__156__mean,,n_tiles_ge_3,3.0,,83,0.4813431498371396,0.4813431498371396,0.5407668005498537
cervical,PLIP,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__156__mean,,n_cells_ge_20,,20.0,209,0.5443038259466355,0.5443038259466355,0.5407668005498537
cervical,PLIP,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__156__mean,,n_cells_ge_50,,50.0,195,0.5397892835604691,0.5397892835604691,0.5407668005498537
cervical,PLIP,stromal_encapsulation,program__wta_stromal_encapsulation,embedding__156__mean,,n_tiles_ge_3_and_n_cells_ge_50,3.0,50.0,82,0.4740399808482322,0.4740399808482322,0.5407668005498537
cervical,PLIP,epithelial_identity,program__wta_epithelial_identity,embedding__276__mean,,full_set,,,215,0.522184084404558,0.522184084404558,0.522184084404558
cervical,PLIP,epithelial_identity,program__wta_epithelial_identity,embedding__276__mean,,n_tiles_ge_2,2.0,,120,0.4504791935765955,0.4504791935765955,0.522184084404558
cervical,PLIP,epithelial_identity,program__wta_epithelial_identity,embedding__276__mean,,n_tiles_ge_3,3.0,,83,0.4945330432062887,0.4945330432062887,0.522184084404558
cervical,PLIP,epithelial_identity,program__wta_epithelial_identity,embedding__276__mean,,n_cells_ge_20,,20.0,209,0.5277648842755719,0.5277648842755719,0.522184084404558
