assigned_structure,feature_name,feature_kind,group_mean,rest_mean,effect_size,p_value,fdr,n_group_tiles,n_rest_tiles
S1,embedding__320,embedding,1.17578125,-0.45263671875,1.62890625,0.0,0.0,866,2248
S1,embedding__342,embedding,1.15625,-0.444580078125,1.6005859375,0.0,0.0,866,2248
S1,embedding__263,embedding,-1.14453125,0.440673828125,-1.5849609375,0.0,0.0,866,2248
S1,embedding__61,embedding,1.13671875,-0.4375,1.57421875,0.0,0.0,866,2248
S1,embedding__110,embedding,-1.1103515625,0.42724609375,-1.537109375,0.0,0.0,866,2248
S1,embedding__103,embedding,-1.09375,0.4208984375,-1.5146484375,0.0,0.0,866,2248
S1,embedding__47,embedding,-1.083984375,0.416748046875,-1.5009765625,0.0,0.0,866,2248
S1,embedding__176,embedding,-1.0712890625,0.412841796875,-1.484375,0.0,0.0,866,2248
S1,embedding__198,embedding,-1.0703125,0.412109375,-1.482421875,0.0,0.0,866,2248
S1,embedding__265,embedding,-1.0693359375,0.4111328125,-1.48046875,0.0,0.0,866,2248
S1,embedding__385,embedding,-1.0693359375,0.4111328125,-1.48046875,0.0,0.0,866,2248
S1,embedding__471,embedding,1.068359375,-0.4111328125,1.4794921875,0.0,0.0,866,2248
S1,embedding__371,embedding,1.0625,-0.408447265625,1.470703125,0.0,0.0,866,2248
S1,embedding__179,embedding,-1.0615234375,0.408203125,-1.4697265625,0.0,0.0,866,2248
S1,embedding__40,embedding,1.0537109375,-0.405517578125,1.458984375,0.0,0.0,866,2248
S1,embedding__327,embedding,1.0517578125,-0.4052734375,1.45703125,0.0,0.0,866,2248
S1,embedding__92,embedding,1.05078125,-0.404052734375,1.455078125,0.0,0.0,866,2248
S1,embedding__29,embedding,1.048828125,-0.4033203125,1.4521484375,0.0,0.0,866,2248
S1,embedding__194,embedding,-1.0458984375,0.40234375,-1.4482421875,0.0,0.0,866,2248
S1,embedding__332,embedding,1.0361328125,-0.39892578125,1.435546875,0.0,0.0,866,2248
S1,embedding__262,embedding,-1.0302734375,0.396240234375,-1.4267578125,0.0,0.0,866,2248
S1,embedding__497,embedding,-1.0302734375,0.396484375,-1.4267578125,0.0,0.0,866,2248
S1,embedding__464,embedding,-1.0234375,0.39404296875,-1.41796875,0.0,0.0,866,2248
S1,embedding__112,embedding,1.01171875,-0.388916015625,1.400390625,0.0,0.0,866,2248
S1,embedding__278,embedding,-1.0078125,0.38818359375,-1.396484375,0.0,0.0,866,2248
S1,embedding__171,embedding,1.0048828125,-0.386962890625,1.3916015625,0.0,0.0,866,2248
S1,embedding__428,embedding,-1.0048828125,0.386474609375,-1.3916015625,0.0,0.0,866,2248
S1,embedding__417,embedding,1.00390625,-0.386474609375,1.390625,0.0,0.0,866,2248
S1,embedding__424,embedding,-1.0029296875,0.3857421875,-1.388671875,0.0,0.0,866,2248
S1,embedding__246,embedding,-1.001953125,0.385498046875,-1.3876953125,0.0,0.0,866,2248
S1,embedding__496,embedding,1.0009765625,-0.385009765625,1.3857421875,0.0,0.0,866,2248
S1,embedding__79,embedding,0.9990234375,-0.384521484375,1.3837890625,0.0,0.0,866,2248
S1,embedding__343,embedding,-0.9990234375,0.38427734375,-1.3828125,0.0,0.0,866,2248
S1,embedding__477,embedding,-0.98974609375,0.380615234375,-1.3701171875,0.0,0.0,866,2248
S1,embedding__329,embedding,-0.98779296875,0.380126953125,-1.3681640625,0.0,0.0,866,2248
S1,embedding__83,embedding,0.9853515625,-0.37939453125,1.365234375,0.0,0.0,866,2248
S1,embedding__312,embedding,-0.98291015625,0.37841796875,-1.361328125,0.0,0.0,866,2248
S1,embedding__186,embedding,0.98193359375,-0.37841796875,1.3603515625,0.0,0.0,866,2248
S1,embedding__133,embedding,-0.97802734375,0.37646484375,-1.3544921875,0.0,0.0,866,2248
S1,embedding__215,embedding,0.9716796875,-0.374755859375,1.3466796875,0.0,0.0,866,2248
S1,embedding__163,embedding,0.97021484375,-0.373779296875,1.34375,0.0,0.0,866,2248
S1,embedding__271,embedding,-0.96826171875,0.373046875,-1.341796875,0.0,0.0,866,2248
S1,embedding__359,embedding,-0.96630859375,0.371826171875,-1.337890625,0.0,0.0,866,2248
S1,embedding__48,embedding,0.95849609375,-0.368896484375,1.3271484375,0.0,0.0,866,2248
S1,embedding__36,embedding,-0.95703125,0.36865234375,-1.326171875,0.0,0.0,866,2248
S1,embedding__70,embedding,-0.95703125,0.368408203125,-1.3251953125,0.0,0.0,866,2248
S1,embedding__340,embedding,0.95654296875,-0.368408203125,1.3251953125,0.0,0.0,866,2248
S1,embedding__50,embedding,0.95263671875,-0.366943359375,1.3193359375,0.0,0.0,866,2248
S1,embedding__182,embedding,-0.95166015625,0.365966796875,-1.3173828125,0.0,0.0,866,2248
S1,embedding__43,embedding,-0.95068359375,0.3662109375,-1.31640625,0.0,0.0,866,2248
S1,embedding__309,embedding,0.94873046875,-0.365234375,1.314453125,0.0,0.0,866,2248
S1,embedding__201,embedding,0.947265625,-0.36474609375,1.3125,0.0,0.0,866,2248
S1,embedding__223,embedding,-0.94677734375,0.3642578125,-1.310546875,0.0,0.0,866,2248
S1,embedding__45,embedding,-0.9443359375,0.363525390625,-1.3076171875,0.0,0.0,866,2248
S1,embedding__255,embedding,0.93896484375,-0.361083984375,1.2998046875,0.0,0.0,866,2248
S1,embedding__46,embedding,-0.9345703125,0.35986328125,-1.294921875,0.0,0.0,866,2248
S1,embedding__66,embedding,0.93359375,-0.35888671875,1.29296875,0.0,0.0,866,2248
S1,embedding__101,embedding,0.93359375,-0.359130859375,1.29296875,0.0,0.0,866,2248
S1,embedding__475,embedding,-0.93310546875,0.358642578125,-1.2919921875,0.0,0.0,866,2248
S1,embedding__225,embedding,-0.931640625,0.358642578125,-1.2900390625,0.0,0.0,866,2248
S1,embedding__91,embedding,0.9296875,-0.358154296875,1.2880859375,0.0,0.0,866,2248
S1,embedding__107,embedding,-0.9296875,0.35791015625,-1.287109375,0.0,0.0,866,2248
S1,embedding__450,embedding,-0.927734375,0.35693359375,-1.28515625,0.0,0.0,866,2248
S1,embedding__17,embedding,0.9267578125,-0.356689453125,1.283203125,0.0,0.0,866,2248
S1,embedding__146,embedding,0.92626953125,-0.356201171875,1.2822265625,0.0,0.0,866,2248
S1,embedding__380,embedding,0.9248046875,-0.356201171875,1.28125,0.0,0.0,866,2248
S1,embedding__224,embedding,0.921875,-0.354248046875,1.2763671875,0.0,0.0,866,2248
S1,embedding__315,embedding,0.92138671875,-0.354736328125,1.2763671875,0.0,0.0,866,2248
S1,embedding__453,embedding,0.92041015625,-0.353759765625,1.2744140625,0.0,0.0,866,2248
S1,embedding__412,embedding,-0.9189453125,0.353759765625,-1.2724609375,0.0,0.0,866,2248
S1,embedding__502,embedding,-0.91845703125,0.35302734375,-1.271484375,0.0,0.0,866,2248
S1,embedding__59,embedding,-0.9169921875,0.352783203125,-1.26953125,0.0,0.0,866,2248
S1,embedding__65,embedding,-0.91650390625,0.352783203125,-1.26953125,0.0,0.0,866,2248
S1,embedding__379,embedding,-0.9150390625,0.352294921875,-1.267578125,0.0,0.0,866,2248
S1,embedding__200,embedding,-0.91455078125,0.352294921875,-1.2666015625,0.0,0.0,866,2248
S1,embedding__401,embedding,0.9150390625,-0.351806640625,1.2666015625,0.0,0.0,866,2248
S1,embedding__162,embedding,0.912109375,-0.35107421875,1.263671875,0.0,0.0,866,2248
S1,embedding__143,embedding,-0.91162109375,0.351318359375,-1.2626953125,0.0,0.0,866,2248
S1,embedding__301,embedding,0.91162109375,-0.3505859375,1.26171875,0.0,0.0,866,2248
S1,embedding__478,embedding,-0.91015625,0.3505859375,-1.2607421875,0.0,0.0,866,2248
S1,embedding__185,embedding,0.90869140625,-0.350341796875,1.2587890625,0.0,0.0,866,2248
S1,embedding__482,embedding,0.90869140625,-0.34912109375,1.2578125,0.0,0.0,866,2248
S1,embedding__77,embedding,0.90625,-0.3486328125,1.2548828125,0.0,0.0,866,2248
S1,embedding__153,embedding,0.90625,-0.3486328125,1.2548828125,0.0,0.0,866,2248
S5,embedding__445,embedding,1.2041015625,-0.050628662109375,1.2548828125,1.5731832727732337e-22,3.6595439767719605e-22,127,2987
S1,embedding__175,embedding,-0.90380859375,0.347412109375,-1.2509765625,0.0,0.0,866,2248
S1,embedding__425,embedding,0.8994140625,-0.346435546875,1.24609375,0.0,0.0,866,2248
S1,embedding__434,embedding,-0.896484375,0.345703125,-1.2421875,0.0,0.0,866,2248
S1,embedding__298,embedding,-0.89599609375,0.34521484375,-1.2412109375,0.0,0.0,866,2248
S1,embedding__409,embedding,-0.89501953125,0.34423828125,-1.2392578125,0.0,0.0,866,2248
S5,embedding__107,embedding,-1.1845703125,0.0501708984375,-1.234375,0.0,0.0,127,2987
S1,embedding__192,embedding,-0.88671875,0.341064453125,-1.2275390625,0.0,0.0,866,2248
S1,embedding__140,embedding,-0.88525390625,0.340576171875,-1.2255859375,0.0,0.0,866,2248
S1,embedding__130,embedding,-0.8837890625,0.3408203125,-1.224609375,0.0,0.0,866,2248
S1,embedding__108,embedding,0.88232421875,-0.33984375,1.22265625,0.0,0.0,866,2248
S1,embedding__336,embedding,-0.8828125,0.34033203125,-1.22265625,0.0,0.0,866,2248
S5,embedding__401,embedding,1.169921875,-0.04937744140625,1.2197265625,0.0,0.0,127,2987
S1,embedding__32,embedding,0.87548828125,-0.33740234375,1.212890625,0.0,0.0,866,2248
S5,embedding__239,embedding,1.1533203125,-0.048858642578125,1.2021484375,4.320039084897834e-33,1.234972838070465e-32,127,2987
S1,embedding__151,embedding,-0.86767578125,0.333740234375,-1.201171875,0.0,0.0,866,2248
S1,embedding__487,embedding,-0.86669921875,0.333740234375,-1.2001953125,0.0,0.0,866,2248
S1,embedding__236,embedding,0.8662109375,-0.333251953125,1.19921875,0.0,0.0,866,2248
S1,embedding__296,embedding,-0.861328125,0.33154296875,-1.193359375,0.0,0.0,866,2248
S1,embedding__461,embedding,0.86181640625,-0.33154296875,1.193359375,0.0,0.0,866,2248
