tile_id,tile_x,tile_y,assigned,contour_id,assigned_structure,structure_id,classification_name
0,86734.5,36491.5,True,S1 S1 #2.1,S1,1,S1 S1 #2.1
1,87143.5,36082.5,True,S1 S1 #2.1,S1,1,S1 S1 #2.1
2,86712.5,15167.5,True,S1 S1 #4.1,S1,1,S1 S1 #4.1
3,86556.5,34607.5,True,S1 S1 #6.1,S1,1,S1 S1 #6.1
4,85774.5,31173.5,True,S1 S1 #9.1,S1,1,S1 S1 #9.1
5,86183.5,31173.5,True,S1 S1 #9.1,S1,1,S1 S1 #9.1
6,85295.5,15498.5,True,S1 S1 #10.1,S1,1,S1 S1 #10.1
7,85704.5,15089.5,True,S1 S1 #10.1,S1,1,S1 S1 #10.1
8,85704.5,15498.5,True,S1 S1 #10.1,S1,1,S1 S1 #10.1
9,84253.5,33662.5,True,S1 S1 #12.1,S1,1,S1 S1 #12.1
10,84662.5,32844.5,True,S1 S1 #12.1,S1,1,S1 S1 #12.1
11,84662.5,33253.5,True,S1 S1 #12.1,S1,1,S1 S1 #12.1
12,84662.5,33662.5,True,S1 S1 #12.1,S1,1,S1 S1 #12.1
13,85071.5,32435.5,True,S1 S1 #12.1,S1,1,S1 S1 #12.1
14,85071.5,32844.5,True,S1 S1 #12.1,S1,1,S1 S1 #12.1
15,85071.5,33253.5,True,S1 S1 #12.1,S1,1,S1 S1 #12.1
16,85071.5,33662.5,True,S1 S1 #12.1,S1,1,S1 S1 #12.1
17,85071.5,34071.5,True,S1 S1 #12.1,S1,1,S1 S1 #12.1
18,85071.5,34480.5,True,S1 S1 #12.1,S1,1,S1 S1 #12.1
19,85480.5,33662.5,True,S1 S1 #12.1,S1,1,S1 S1 #12.1
20,85480.5,34071.5,True,S1 S1 #12.1,S1,1,S1 S1 #12.1
21,85889.5,34889.5,True,S1 S1 #12.1,S1,1,S1 S1 #12.1
22,85473.5,39347.5,True,S1 S1 #13.1,S1,1,S1 S1 #13.1
23,85882.5,39347.5,True,S1 S1 #13.1,S1,1,S1 S1 #13.1
24,84495.5,38567.5,True,S1 S1 #18.1,S1,1,S1 S1 #18.1
25,84904.5,38158.5,True,S1 S1 #18.1,S1,1,S1 S1 #18.1
26,84904.5,38567.5,True,S1 S1 #18.1,S1,1,S1 S1 #18.1
27,84904.5,38976.5,True,S1 S1 #18.1,S1,1,S1 S1 #18.1
28,85313.5,38567.5,True,S1 S1 #18.1,S1,1,S1 S1 #18.1
29,80987.5,24163.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
30,81396.5,24163.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
31,81805.5,24163.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
32,81805.5,25390.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
33,82214.5,24163.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
34,82623.5,24163.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
35,82623.5,24572.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
36,82623.5,25390.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
37,82623.5,25799.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
38,82623.5,26208.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
39,82623.5,26617.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
40,82623.5,27026.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
41,83032.5,24163.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
42,83032.5,24572.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
43,83032.5,24981.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
44,83032.5,25390.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
45,83032.5,25799.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
46,83032.5,26208.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
47,83032.5,26617.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
48,83032.5,27026.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
49,83441.5,23345.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
50,83441.5,23754.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
51,83441.5,24163.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
52,83441.5,24572.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
53,83441.5,24981.5,True,S3 S3 #131.1,S3,3,S3 S3 #131.1
54,83441.5,25390.5,True,S3 S3 #131.1,S3,3,S3 S3 #131.1
55,83441.5,25799.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
56,83441.5,26208.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
57,83441.5,26617.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
58,83441.5,27026.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
59,83850.5,22527.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
60,83850.5,22936.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
61,83850.5,23345.5,True,S3 S3 #32.1,S3,3,S3 S3 #32.1
62,83850.5,23754.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
63,83850.5,24163.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
64,83850.5,24572.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
65,83850.5,24981.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
66,83850.5,25390.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
67,83850.5,25799.5,True,S2 S2 #112.1,S2,2,S2 S2 #112.1
68,83850.5,26208.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
69,83850.5,26617.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
70,83850.5,27026.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
71,84259.5,24163.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
72,84259.5,24572.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
73,84259.5,24981.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
74,84259.5,25390.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
75,84259.5,25799.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
76,84259.5,26208.5,True,S2 S2 #112.1,S2,2,S2 S2 #112.1
77,84259.5,26617.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
78,84668.5,25799.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
79,84668.5,26208.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
80,84668.5,26617.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
81,85077.5,26208.5,True,S1 S1 #19.1,S1,1,S1 S1 #19.1
82,84174.5,31545.5,True,S1 S1 #20.1,S1,1,S1 S1 #20.1
83,84174.5,31954.5,True,S1 S1 #20.1,S1,1,S1 S1 #20.1
84,84174.5,32363.5,True,S1 S1 #20.1,S1,1,S1 S1 #20.1
85,83721.5,37619.5,True,S1 S1 #23.1,S1,1,S1 S1 #23.1
86,83721.5,38028.5,True,S1 S1 #23.1,S1,1,S1 S1 #23.1
87,84130.5,37210.5,True,S1 S1 #23.1,S1,1,S1 S1 #23.1
88,84130.5,37619.5,True,S1 S1 #23.1,S1,1,S1 S1 #23.1
89,84130.5,38028.5,True,S1 S1 #23.1,S1,1,S1 S1 #23.1
90,83033.5,35529.5,True,S1 S1 #24.1,S1,1,S1 S1 #24.1
91,83033.5,35938.5,True,S1 S1 #24.1,S1,1,S1 S1 #24.1
92,83442.5,35120.5,True,S1 S1 #24.1,S1,1,S1 S1 #24.1
93,83442.5,35529.5,True,S1 S1 #24.1,S1,1,S1 S1 #24.1
94,83442.5,35938.5,True,S1 S1 #24.1,S1,1,S1 S1 #24.1
95,83851.5,35120.5,True,S1 S1 #24.1,S1,1,S1 S1 #24.1
96,83851.5,35529.5,True,S1 S1 #24.1,S1,1,S1 S1 #24.1
97,83862.5,39289.5,True,S1 S1 #25.1,S1,1,S1 S1 #25.1
98,83632.5,29625.5,True,S1 S1 #26.1,S1,1,S1 S1 #26.1
99,83632.5,30034.5,True,S1 S1 #26.1,S1,1,S1 S1 #26.1
100,80648.5,21883.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
101,80648.5,22701.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
102,81057.5,21474.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
103,81057.5,21883.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
104,81057.5,22292.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
105,81057.5,22701.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
106,81057.5,23110.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
107,81466.5,21474.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
108,81466.5,21883.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
109,81466.5,22701.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
110,81875.5,21065.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
111,81875.5,21474.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
112,81875.5,21883.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
113,81875.5,22292.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
114,82284.5,22292.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
115,82284.5,22701.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
116,82284.5,23110.5,True,S3 S3 #32.1,S3,3,S3 S3 #32.1
117,82693.5,21474.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
118,82693.5,21883.5,True,S3 S3 #125.1,S3,3,S3 S3 #125.1
119,82693.5,22292.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
120,82693.5,22701.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
121,82693.5,23110.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
122,83102.5,21474.5,True,S1 S1 #28.1,S1,1,S1 S1 #28.1
