tile_id,x,y,assigned_structure,top_image_label
0,-2.4445236,-3.3902164,S1,invasive carcinoma
1,0.38164088,-1.9902471,S1,necrosis
2,-2.891021,-3.571376,S1,immune infiltrate
3,-1.8855451,-3.3375804,S1,adipose tissue
4,-3.2181838,-2.7490978,S1,invasive carcinoma
5,-3.021554,-2.5915391,S1,invasive carcinoma
6,-3.2262764,-3.4877138,S1,immune infiltrate
7,-2.127205,-3.2372508,S1,ductal epithelium
8,-3.1180496,-3.50009,S1,immune infiltrate
9,-2.3664708,-3.032257,S1,invasive carcinoma
10,-2.0366476,-2.7784858,S1,invasive carcinoma
11,-5.2730937,-1.6937087,S1,necrosis
12,-3.3158607,-3.1908085,S1,invasive carcinoma
13,-3.533408,0.10310947,S1,necrosis
14,-0.91862494,-3.444991,S1,ductal epithelium
15,-2.2691908,-3.130452,S1,invasive carcinoma
16,-4.3210287,-1.4178746,S1,immune infiltrate
17,-3.6489305,-3.2623403,S1,invasive carcinoma
18,-1.6636392,-2.4405715,S1,necrosis
19,-1.6653626,-3.0241816,S1,invasive carcinoma
20,-1.9218355,-2.624454,S1,necrosis
21,0.46085608,-2.9745152,S1,adipose tissue
22,-2.5296338,-3.441827,S1,invasive carcinoma
23,-1.4510527,-2.87439,S1,immune infiltrate
24,-1.6467316,-3.4082847,S1,adipose tissue
25,-2.7860296,-3.2436419,S1,invasive carcinoma
26,-4.443828,-1.4098619,S1,invasive carcinoma
27,-2.740956,-2.9490948,S1,invasive carcinoma
28,-2.1349983,-3.1086137,S1,invasive carcinoma
29,-1.8987684,-2.1444933,S1,immune infiltrate
30,-4.761346,-0.9547232,S1,necrosis
31,-4.430303,-0.8284419,S1,immune infiltrate
32,-3.0820558,-2.883259,S1,invasive carcinoma
33,-2.1731837,-3.4009516,S1,immune infiltrate
34,-3.1570513,-2.0778313,S1,immune infiltrate
35,-4.692515,-2.1725063,S1,invasive carcinoma
36,-3.4200952,-2.3599424,S1,invasive carcinoma
37,-2.2534816,-1.8152521,S1,invasive carcinoma
38,-1.8103474,-2.5797193,S1,immune infiltrate
39,-2.6278129,-2.0174904,S1,ductal epithelium
40,-0.95586765,-3.8127313,S1,ductal epithelium
41,-2.0852463,-1.6800078,S1,necrosis
42,-0.9840135,-3.2275379,S1,ductal epithelium
43,-2.5010145,-3.6363714,S1,invasive carcinoma
44,-3.4916656,-2.246379,S1,invasive carcinoma
45,-2.6834257,-1.5191215,S1,immune infiltrate
46,-2.209004,-1.3919122,S1,immune infiltrate
47,-3.2711737,-1.5660259,S1,immune infiltrate
48,-2.6492004,-3.116121,S1,invasive carcinoma
49,-5.387323,-2.1566923,S1,immune infiltrate
