tile_id,tissue_id,tile_x,tile_y,assigned,contour_id,assigned_structure,structure_id,classification_name,top_image_label,top_image_label_score,text_similarity__ductal_epithelium,text_similarity__invasive_carcinoma,text_similarity__in_situ_carcinoma,text_similarity__fibrotic_stroma,text_similarity__immune_infiltrate,text_similarity__necrosis,text_similarity__adipose_tissue,text_similarity__vascular_stroma,text_similarity__lumen_or_secretion
0,S1 S1 #2.1,86734.5,36491.5,True,S1 S1 #2.1,S1,1,S1 S1 #2.1,invasive carcinoma,0.11315438151359558,0.11010557,0.11315438,0.11155929,0.109829694,0.11308047,0.112099655,0.11036732,0.111019455,0.10878416
1,S1 S1 #2.1,87143.5,36082.5,True,S1 S1 #2.1,S1,1,S1 S1 #2.1,necrosis,0.11363358050584793,0.110090464,0.111889,0.110981666,0.10748657,0.11262763,0.11363358,0.10997435,0.11189318,0.11142358
2,S1 S1 #4.1,86712.5,15167.5,True,S1 S1 #4.1,S1,1,S1 S1 #4.1,immune infiltrate,0.11406350880861282,0.1119129,0.1136268,0.112742394,0.10685507,0.11406351,0.11247934,0.10927334,0.109292485,0.109754115
3,S1 S1 #6.1,86556.5,34607.5,True,S1 S1 #6.1,S1,1,S1 S1 #6.1,adipose tissue,0.11292248964309692,0.11204812,0.11078142,0.1096779,0.109786086,0.112139456,0.11044261,0.11292249,0.1103913,0.11181058
4,S1 S1 #9.1,85774.5,31173.5,True,S1 S1 #9.1,S1,1,S1 S1 #9.1,invasive carcinoma,0.11430726945400238,0.1106673,0.11430727,0.112287536,0.11029812,0.110647865,0.1105275,0.11069788,0.11084671,0.10971982
5,S1 S1 #9.1,86183.5,31173.5,True,S1 S1 #9.1,S1,1,S1 S1 #9.1,invasive carcinoma,0.1145026907324791,0.11042196,0.11450269,0.11321536,0.10959092,0.11133669,0.11034867,0.11081278,0.11037544,0.1093955
6,S1 S1 #10.1,85295.5,15498.5,True,S1 S1 #10.1,S1,1,S1 S1 #10.1,immune infiltrate,0.11417604237794876,0.1133353,0.113184184,0.11337708,0.107204735,0.11417604,0.110750206,0.10897619,0.109056816,0.10993949
7,S1 S1 #10.1,85704.5,15089.5,True,S1 S1 #10.1,S1,1,S1 S1 #10.1,ductal epithelium,0.11373323947191238,0.11373324,0.112118915,0.11156343,0.108659014,0.11109033,0.10992348,0.11184799,0.110248044,0.11081552
8,S1 S1 #10.1,85704.5,15498.5,True,S1 S1 #10.1,S1,1,S1 S1 #10.1,immune infiltrate,0.11384932696819305,0.11303971,0.11321379,0.112606466,0.106244706,0.11384933,0.11267096,0.108927645,0.108810745,0.11063667
9,S1 S1 #12.1,84253.5,33662.5,True,S1 S1 #12.1,S1,1,S1 S1 #12.1,invasive carcinoma,0.11357171088457108,0.11198488,0.11357171,0.112959825,0.10751669,0.11206516,0.112486,0.11009622,0.10926389,0.11005568
10,S1 S1 #12.1,84662.5,32844.5,True,S1 S1 #12.1,S1,1,S1 S1 #12.1,invasive carcinoma,0.11284700036048889,0.1116804,0.112847,0.111113295,0.109733686,0.11235558,0.11110036,0.110343635,0.11190829,0.10891786
11,S1 S1 #12.1,84662.5,33253.5,True,S1 S1 #12.1,S1,1,S1 S1 #12.1,necrosis,0.11630060523748398,0.10966128,0.11382923,0.11198177,0.106059626,0.11621461,0.116300605,0.10462569,0.11062024,0.11070698
12,S1 S1 #12.1,84662.5,33662.5,True,S1 S1 #12.1,S1,1,S1 S1 #12.1,invasive carcinoma,0.11467701196670532,0.1098977,0.11467701,0.112589255,0.107959144,0.11272925,0.11187192,0.11020903,0.11055864,0.10950809
13,S1 S1 #12.1,85071.5,32435.5,True,S1 S1 #12.1,S1,1,S1 S1 #12.1,necrosis,0.11663107573986053,0.11090162,0.11111489,0.11069969,0.10654653,0.11095931,0.116631076,0.11129598,0.1101079,0.11174306
14,S1 S1 #12.1,85071.5,32844.5,True,S1 S1 #12.1,S1,1,S1 S1 #12.1,ductal epithelium,0.112358458340168,0.11235846,0.11078556,0.11096904,0.109790556,0.11131837,0.11141002,0.111767165,0.109544575,0.1120562
