rank,pathway,molecular_feature,best_image_feature,image_axis_family,partial_spearman_rho,abs_partial_spearman_rho,fdr,n_contours,controls,interpretation
1,luminal_estrogen_response,program__wta_luminal_estrogen_response,embedding__103__mean,foundation_embedding_axis,-0.5966828070613327,0.5966828070613327,8.637357890793204e-25,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual epithelial tumor-state program linked to foundation_embedding_axis beyond discrete HistoSeg labels.
2,epithelial_identity,program__wta_epithelial_identity,embedding__103__mean,foundation_embedding_axis,-0.4957976313355868,0.4957976313355868,1.0952916558677352e-16,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual epithelial tumor-state program linked to foundation_embedding_axis beyond discrete HistoSeg labels.
3,basal_squamous_state,program__wta_basal_squamous_state,embedding__480__mean,foundation_embedding_axis,0.4922975624406062,0.4922975624406062,1.8931657195218988e-16,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual epithelial tumor-state program linked to foundation_embedding_axis beyond discrete HistoSeg labels.
4,unfolded_protein_response,program__wta_unfolded_protein_response,embedding__29__mean,foundation_embedding_axis,0.49102359432830267,0.49102359432830267,2.2955218470285153e-16,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual cell-state stress or proliferation program linked to foundation_embedding_axis.
5,oxidative_phosphorylation,program__wta_oxidative_phosphorylation,embedding__371__mean,foundation_embedding_axis,0.4848266849131066,0.4848266849131066,6.579163737997346e-16,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual metabolic-state gradient linked to foundation_embedding_axis after structure and spatial controls.
6,p53_apoptosis_stress,program__wta_p53_apoptosis_stress,embedding__246__mean,foundation_embedding_axis,-0.43877883177355775,0.43877883177355775,8.12374896470103e-13,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual cell-state stress or proliferation program linked to foundation_embedding_axis.
7,tls_b_cell_plasma,program__wta_tls_b_cell_plasma,embedding__20__mean,foundation_embedding_axis,-0.40912890180399847,0.40912890180399847,4.5680474752780615e-11,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual immune-ecology program linked to foundation_embedding_axis within matched structures.
8,cell_cycle_proliferation,program__wta_cell_cycle_proliferation,embedding__342__mean,foundation_embedding_axis,0.39770951244871605,0.39770951244871605,1.9747789898478748e-10,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual cell-state stress or proliferation program linked to foundation_embedding_axis.
9,her2_amplicon_signaling,program__wta_her2_amplicon_signaling,embedding__426__mean,foundation_embedding_axis,0.3890401092655498,0.3890401092655498,5.728343647125755e-10,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual epithelial tumor-state program linked to foundation_embedding_axis beyond discrete HistoSeg labels.
10,t_cell_exhaustion_checkpoint,program__wta_t_cell_exhaustion_checkpoint,embedding__115__mean,foundation_embedding_axis,-0.3765064582517542,0.3765064582517542,2.5168313855104095e-09,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual immune-ecology program linked to foundation_embedding_axis within matched structures.
11,t_cell_cytotoxicity,program__wta_t_cell_cytotoxicity,embedding__141__mean,foundation_embedding_axis,0.3744567069765839,0.3744567069765839,3.1697069875114394e-09,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual immune-ecology program linked to foundation_embedding_axis within matched structures.
12,complement_inflammation,program__wta_complement_inflammation,embedding__200__mean,foundation_embedding_axis,0.3624596648421248,0.3624596648421248,1.2311988079980043e-08,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual WTA pathway activity linked to foundation_embedding_axis after coarse structure is fixed.
13,interferon_alpha_response,program__wta_interferon_alpha_response,embedding__28__mean,foundation_embedding_axis,-0.3465710796720652,0.3465710796720652,6.599125336801115e-08,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual immune-ecology program linked to foundation_embedding_axis within matched structures.
14,collagen_ecm_organization,program__wta_collagen_ecm_organization,embedding__262__mean,foundation_embedding_axis,0.3304112291126158,0.3304112291126158,3.343321463006379e-07,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual stromal-remodeling or invasion program linked to foundation_embedding_axis.
15,adipocyte_lipid_state,program__wta_adipocyte_lipid_state,embedding__507__mean,foundation_embedding_axis,-0.3269116833083613,0.3269116833083613,4.689667360968156e-07,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual WTA pathway activity linked to foundation_embedding_axis after coarse structure is fixed.
16,antigen_presentation_interferon,program__wta_antigen_presentation_interferon,embedding__51__mean,foundation_embedding_axis,-0.3117760866851955,0.3117760866851955,1.944571880721481e-06,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual immune-ecology program linked to foundation_embedding_axis within matched structures.
17,hypoxia_glycolysis,program__wta_hypoxia_glycolysis,embedding__477__mean,foundation_embedding_axis,-0.30338170921917773,0.30338170921917773,4.0557632570864145e-06,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual metabolic-state gradient linked to foundation_embedding_axis after structure and spatial controls.
18,angiogenesis_endothelial,program__wta_angiogenesis_endothelial,embedding__173__mean,foundation_embedding_axis,0.3014105663220297,0.3014105663220297,4.828633105443772e-06,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual WTA pathway activity linked to foundation_embedding_axis after coarse structure is fixed.
19,myeloid_spp1_macrophage,program__wta_myeloid_spp1_macrophage,embedding__197__mean,foundation_embedding_axis,0.30060697304133743,0.30060697304133743,5.145875582234549e-06,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual WTA pathway activity linked to foundation_embedding_axis after coarse structure is fixed.
20,pericyte_smooth_muscle,program__wta_pericyte_smooth_muscle,embedding__173__mean,foundation_embedding_axis,0.2966110694234651,0.2966110694234651,7.242098544884751e-06,300,"assigned_structure,centroid_x,centroid_y,cell_boundary_distance_um__mean",Residual WTA pathway activity linked to foundation_embedding_axis after coarse structure is fixed.
