image_feature,omics_feature,effect_size,p_value,fdr
geometry__area_um2,omics__whole__area_um2,0.9999999999999998,4.0494065550148204e-201,1.38254838601316e-196
geometry__perimeter_um,omics__whole__area_um2,0.9951963988392991,8.961969271340007e-28,1.5298977743104525e-23
geometry__area_um2,omics__outer_rim__area_um2,0.9935535351311381,4.0665800130881334e-26,4.628039160228502e-22
geometry__perimeter_um,omics__outer_rim__area_um2,0.9912354267307519,2.177311725767755e-24,1.8584444235290674e-20
geometry__area_um2,edge_contrast__omics__area_um2,0.9908089121059138,4.028602231586273e-24,2.750890747816371e-20
geometry__area_um2,omics__core__area_um2,0.9906439185470554,5.072306733495001e-24,2.886311608249772e-20
geometry__perimeter_um,edge_contrast__omics__area_um2,0.9895920411103085,2.0145578553512487e-23,9.825862042486048e-20
geometry__bbox_width_um,omics__outer_rim__area_um2,0.9874959683557292,2.1626233077515044e-22,9.229535621656482e-19
geometry__bbox_width_um,omics__whole__area_um2,0.9856615274746475,1.2688277600697433e-21,4.8133685982556865e-18
geometry__perimeter_um,omics__core__area_um2,0.9853103418971867,1.7344504060213386e-21,5.9217605762380535e-18
geometry__bbox_width_um,edge_contrast__omics__area_um2,0.9841951461773812,4.4624126024742674e-21,1.3850517370334221e-17
pathomics__inner_rim__std_r,omics__inner_rim__n_cells,0.9776133924684286,3.9726602775392367e-19,1.1302880599645386e-15
pathomics__inner_rim__texture_entropy,omics__inner_rim__area_um2,0.9732205778717407,3.980198300794037e-18,1.0453225414285385e-14
geometry__bbox_width_um,omics__core__area_um2,0.9713206210872157,9.599355288868638e-18,2.341008487661093e-14
pathomics__inner_rim__texture_entropy,omics__inner_rim__n_cells,0.9702099012164138,1.5633215753409744e-17,3.55832834835277e-14
pathomics__inner_rim__texture_std,omics__inner_rim__n_cells,0.9687997124065062,2.8295445430274646e-17,6.037894361752731e-14
pathomics__inner_rim__std_r,omics__inner_rim__area_um2,0.9682875264270613,3.4865003375500395e-17,7.00212320733138e-14
pathomics__inner_rim__std_b,omics__inner_rim__n_cells,0.9670369763941217,5.72374679313604e-17,1.085667572284726e-13
pathomics__inner_rim__std_b,omics__inner_rim__area_um2,0.9640591966173361,1.7324257425823528e-16,3.113077879118247e-13
pathomics__inner_rim__texture_std,omics__inner_rim__area_um2,0.9633544749823819,2.221023381116554e-16,3.791509013904069e-13
geometry__bbox_height_um,omics__whole__area_um2,0.96317064187845,2.3678417762183765e-16,3.849659710649896e-13
pathomics__inner_rim__edge_density,omics__inner_rim__niche_fraction__mixed_low_signal,0.9621551716108092,3.352863658122596e-16,5.203339591619166e-13
pathomics__inner_rim__foreground_fraction,omics__inner_rim__niche_fraction__mixed_low_signal,0.9604585468176327,5.872717724309501e-16,5.897244957158087e-13
pathomics__inner_rim__mean_r,omics__inner_rim__niche_fraction__mixed_low_signal,0.9604585468176327,5.872717724309501e-16,5.897244957158087e-13
pathomics__inner_rim__mean_g,omics__inner_rim__niche_fraction__mixed_low_signal,0.9604585468176327,5.872717724309501e-16,5.897244957158087e-13
pathomics__inner_rim__mean_b,omics__inner_rim__niche_fraction__mixed_low_signal,0.9604585468176327,5.872717724309501e-16,5.897244957158087e-13
pathomics__inner_rim__std_r,omics__inner_rim__niche_fraction__mixed_low_signal,0.9604585468176327,5.872717724309501e-16,5.897244957158087e-13
pathomics__inner_rim__std_g,omics__inner_rim__niche_fraction__mixed_low_signal,0.9604585468176327,5.872717724309501e-16,5.897244957158087e-13
pathomics__inner_rim__std_b,omics__inner_rim__niche_fraction__mixed_low_signal,0.9604585468176327,5.872717724309501e-16,5.897244957158087e-13
pathomics__inner_rim__stain_blue_ratio,omics__inner_rim__niche_fraction__mixed_low_signal,0.9604585468176327,5.872717724309501e-16,5.897244957158087e-13
