cell_id,x,y,celltype,role,feature,score,sender_celltype,receiver_celltype,ligand,receptor
aaaimgmc-1,262.4244079589844,4271.95654296875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aabmpgfc-1,243.53155517578125,3329.01953125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aacacgjd-1,163.53697204589844,3463.6044921875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aacannac-1,247.91384887695312,3449.912841796875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aadjmaci-1,779.3281860351562,2924.859130859375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aaegpcaa-1,528.719970703125,4401.8154296875,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aaekoicb-1,490.010986328125,4122.86376953125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aafdjbof-1,642.823974609375,4126.443359375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aahhheap-1,398.4350891113281,3506.85400390625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aahlbfdn-1,489.0630798339844,3393.698486328125,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aahlpmai-1,461.9949951171875,3328.148193359375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aajlfian-1,96.67688751220703,5402.4921875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aajocako-1,166.04519653320312,5378.43896484375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aaodiann-1,974.9310913085938,5064.47216796875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aaojbjpg-1,1110.14013671875,4393.47119140625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aaolbomh-1,1461.3203125,5031.71337890625,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
abagmbgh-1,768.3994140625,4274.2548828125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
abaiejko-1,844.2792358398438,4660.138671875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
abdhpkak-1,1075.5968017578125,3356.567138671875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
abdonmda-1,1030.3736572265625,2998.791015625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
abeahfbe-1,1052.7445068359375,2973.832763671875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
abgcihif-1,1276.0699462890625,3319.412109375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
abljniaf-1,1805.806396484375,4890.54736328125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
abljnkia-1,1828.390869140625,4871.03125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
acbpkbil-1,886.647216796875,2771.229736328125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
acdlicni-1,621.5003662109375,3553.22705078125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
acidldlg-1,1477.7083740234375,3858.30859375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
acildjcn-1,1497.2083740234375,3568.712890625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aclnmcje-1,519.5650634765625,2446.2158203125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
acppkceh-1,1350.6929931640625,2311.9267578125,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
adcgnfdc-1,1346.304443359375,2420.8720703125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
adeaofpn-1,1272.13330078125,2501.219970703125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
adgkjdla-1,1681.9188232421875,2113.47021484375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
adhalmnm-1,1625.8477783203125,2145.434814453125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
adicgjcl-1,1605.6922607421875,1392.329833984375,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
adkhjebo-1,1509.926025390625,1670.05810546875,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
admicbai-1,1028.4337158203125,1699.87939453125,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
admjmobn-1,1097.6048583984375,1679.3157958984375,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
adnloljg-1,589.3582763671875,1860.5859375,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aemofhha-1,3553.918212890625,4270.8701171875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aencajjh-1,3868.6767578125,4722.55810546875,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
aeodocic-1,3896.900390625,4714.14404296875,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
afbindfj-1,3840.267578125,3673.388671875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
agckmngp-1,3564.097412109375,5684.3701171875,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
agdfiajp-1,3555.946044921875,5451.65771484375,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ageplhan-1,3567.4287109375,5559.09130859375,Endothelial Cells,sender,DLL4,1.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
ahiidoeo-1,2957.614990234375,5832.55322265625,Endothelial Cells,sender,DLL4,0.0,Endothelial Cells,Pericytes,DLL4,NOTCH3
