cell_id,x,y,celltype,pathway,score
aaafeode-1,175.75204467773438,2758.28466796875,Luminal-like Amorphous DCIS Cells,MacrophageProgram,0.16666666666666669
aaakgbln-1,277.8470153808594,3608.510009765625,"CAFs, DCIS Associated",MacrophageProgram,0.25
aaaknpng-1,388.77813720703125,3535.32421875,Dendritic Cells,MacrophageProgram,0.6666666666666667
aaalnemm-1,365.35595703125,3743.647216796875,"CAFs, DCIS Associated",MacrophageProgram,0.25
aabplepg-1,138.06326293945312,3919.0751953125,"CAFs, DCIS Associated",MacrophageProgram,0.16666666666666669
aacdgaom-1,122.61742401123047,3393.076904296875,Plasma Cells,MacrophageProgram,0.16666666666666669
aacefibe-1,107.45418548583984,3151.10888671875,"CAFs, DCIS Associated",MacrophageProgram,0.16666666666666669
aacheocp-1,742.2242431640625,4197.20068359375,Dendritic Cells,MacrophageProgram,0.5
aadaapgi-1,782.501220703125,4347.74072265625,Macrophages,MacrophageProgram,0.5833333333333334
aadioanp-1,740.0681762695312,4429.49267578125,Apocrine Cells,MacrophageProgram,0.4166666666666667
aaehabfg-1,558.5411987304688,4503.73291015625,"CAFs, DCIS Associated",MacrophageProgram,0.25
aaehlmni-1,548.8532104492188,4173.978515625,Apocrine Cells,MacrophageProgram,0.16666666666666669
aaejiknc-1,553.1996459960938,4128.4736328125,Apocrine Cells,MacrophageProgram,0.16666666666666669
aaelggfk-1,533.8003540039062,4314.06396484375,T Lymphocytes,MacrophageProgram,0.6666666666666667
aafacnhn-1,855.1217651367188,4480.90625,"CAFs, DCIS Associated",MacrophageProgram,0.25
aafdjbof-1,642.823974609375,4126.443359375,Endothelial Cells,MacrophageProgram,0.16666666666666669
aaffgifi-1,631.2261962890625,4170.3642578125,Macrophages,MacrophageProgram,1.0
aafjpedi-1,551.4485473632812,4205.1240234375,Plasma Cells,MacrophageProgram,0.16666666666666669
aafkniob-1,602.2334594726562,4266.80908203125,T Lymphocytes,MacrophageProgram,0.16666666666666669
aafmbaod-1,562.8908081054688,4209.283203125,Macrophages,MacrophageProgram,1.0
aafnjpki-1,556.7175903320312,3961.28564453125,Dendritic Cells,MacrophageProgram,0.33333333333333337
