ligand,receptor,sender_celltype,receiver_celltype,anchor_source_ligand,anchor_source_receptor,structure_map_source,sender_anchor,receiver_anchor,structure_bridge,sender_expr,receiver_expr,local_contact,contact_strength_raw,contact_strength_normalized,contact_coverage,cross_edge_count,prior_confidence,LR_score
DLL4,NOTCH3,Endothelial Cells,Pericytes,precomputed,precomputed,precomputed,0.8999695474149415,0.8544260293908458,0.9385210026241833,1.0,0.8672894033034337,0.13546509820769403,0.11102322992647283,1.0,0.03031900870023728,11379,1.0,0.6628108852003319
CXCL12,CXCR4,"CAFs, DCIS Associated",T Lymphocytes,precomputed,precomputed,precomputed,0.8401391037337905,0.929067454422166,0.493435580121531,1.0,1.0,0.16843041721620092,0.1342601297358261,1.0,0.04507066528783178,11604,1.0,0.6338817490290192
TGFB1,TGFBR2,Endothelial Cells,Endothelial Cells,precomputed,precomputed,precomputed,0.7421690557741022,0.9670990634749379,1.0,0.5918084951805068,1.0,0.05166516495327473,0.0322143099355713,0.5136270386044376,0.006808044447922373,12779,1.0,0.5291256583902569
CSF1,CSF1R,"CAFs, DCIS Associated",Macrophages,precomputed,precomputed,precomputed,0.628123476046365,0.9551923413258293,0.6355774498689515,1.0,1.0,0.04474340830797911,0.056449203187250996,0.2843816139651595,0.014940239043824702,10040,1.0,0.5073865151280754
JAG1,NOTCH1,11q13 Invasive Tumor Cells,Basal-like Structured DCIS Cells,precomputed,precomputed,precomputed,0.7293068717997298,0.906523147700202,0.7225713490803121,1.0,0.46352883193182237,0.07306194413501947,0.040928101503758994,0.9326244223906707,0.005723684210526316,30400,1.0,0.5029093013588464
TGFB1,TGFBR2,T Lymphocytes,Endothelial Cells,precomputed,precomputed,precomputed,0.8551613440119104,0.9670990634749379,0.493435580121531,1.0,1.0,0.03205881576061762,0.0516463926174497,0.8234534201650389,0.01174496644295302,4768,1.0,0.4854183473543701
JAG1,NOTCH1,11q13 Invasive Tumor Cells,11q13 Invasive Tumor Cells,precomputed,precomputed,precomputed,0.7293068717997298,0.6160323490474457,1.0,1.0,1.0,0.02533531363157139,0.017828822000715998,0.7533906596739692,0.0008519857640495049,423716,1.0,0.47428572234409616
DLL4,NOTCH3,Endothelial Cells,Endothelial Cells,precomputed,precomputed,precomputed,0.8999695474149415,0.8544260293908458,1.0,1.0,0.19937237225527835,0.07250293557185424,0.03089704463051368,1.0,0.00688629783238125,12779,1.0,0.47241153359396243
TGFB1,TGFBR2,"CAFs, Invasive Associated",Endothelial Cells,precomputed,precomputed,precomputed,0.614614826838263,0.9670990634749379,0.493435580121531,0.9188457246466148,1.0,0.02910749473367196,0.06349333333333332,1.0,0.01856,3125,1.0,0.4457506759627043
TGFB1,TGFBR2,Dendritic Cells,Endothelial Cells,precomputed,precomputed,precomputed,0.8551613440119104,0.9670990634749379,0.493435580121531,0.7613650405309432,1.0,0.01883035660261379,0.05941928527418359,0.9473849228001457,0.017097966728280962,2164,1.0,0.42448941983499283
TGFB1,TGFBR2,Macrophages,Endothelial Cells,precomputed,precomputed,precomputed,0.8896897540245994,0.9670990634749379,0.8469737648749797,0.3718323084156244,1.0,0.018940363594961384,0.045400238948626,0.7238643425780114,0.013620071684587814,2790,1.0,0.41532289004992023
TGFB1,TGFBR2,Pericytes,Endothelial Cells,precomputed,precomputed,precomputed,0.7421690557741022,0.9670990634749379,0.9385210026241833,0.25809749975310686,1.0,0.02801162351769932,0.020227560050568933,0.32250952411353895,0.004244175546324724,11074,1.0,0.41170866911984233
DLL4,NOTCH3,Endothelial Cells,11q13 Invasive Tumor Cells,precomputed,precomputed,precomputed,0.8999695474149415,0.5135084777480219,0.493435580121531,1.0,1.0,0.02118897667716681,0.02121161641401526,1.0,0.0026653339996668335,6003,1.0,0.41116804232785686
JAG1,NOTCH1,11q13 Invasive Tumor Cells,Endothelial Cells,precomputed,precomputed,precomputed,0.7293068717997298,0.7395744237294981,0.493435580121531,1.0,0.7025747778867708,0.025580161073210934,0.05503367600141793,0.7823244320563647,0.007650951199338296,4836,1.0,0.41047474995774563
CXCL12,CXCR4,"CAFs, DCIS Associated",Dendritic Cells,precomputed,precomputed,precomputed,0.8401391037337905,0.893457455546822,0.493435580121531,1.0,0.3180524283074206,0.031977888013586774,0.07872886849847885,1.0,0.016456390565002744,3646,1.0,0.3944579384584832
TGFB1,TGFBR2,T Lymphocytes,"CAFs, DCIS Associated",precomputed,precomputed,precomputed,0.8551613440119104,0.6348596833309632,0.493435580121531,1.0,0.41704959801464375,0.026972814728393663,0.015051934920489047,0.6812595875077251,0.0019303244783527899,10879,1.0,0.380053795423774
TGFB1,TGFBR2,11q13 Invasive Tumor Cells,Endothelial Cells,precomputed,precomputed,precomputed,0.614614826838263,0.9670990634749379,0.493435580121531,0.9884381288839681,1.0,0.009918644121693776,0.013647642679900754,0.2175988965037143,0.0041356492969396195,4836,1.0,0.37709530078117387
