dataset,model,program,n_contours,observed_partial_spearman_rho,reported_partial_spearman_rho,loo_blocks,loo_sign_stability_fraction,local_mismatch_abs_rho_q95,observed_exceeds_local_mismatch_q95,centroid_jitter_max_scale_fraction,centroid_jitter_min_sign_stability_fraction
breast,plip,luminal_estrogen_response,157,-0.651885,-0.638985,16,1,0.35631,True,0.01,1
breast,plip,unfolded_protein_response,157,0.523104,0.515438,16,1,0.256315,True,0.01,1
breast,plip,oxidative_phosphorylation,157,0.536257,0.531128,16,1,0.306003,True,0.01,1
cervical,plip,myofibroblast_caf_activation,215,-0.554637,-0.554637,16,1,0.12621,True,0.01,1
cervical,plip,emt_invasive_front,215,0.551991,0.551991,16,1,0.241824,True,0.01,1
cervical,plip,tls_adjacent_activation,215,0.55063,0.55063,16,1,0.170149,True,0.01,1
cervical,plip,collagen_ecm_organization,215,-0.545507,-0.545507,16,1,0.140831,True,0.01,1
cervical,plip,immune_exclusion,215,0.543928,0.543928,16,1,0.145019,True,0.01,1
cervical,plip,stromal_encapsulation,215,0.540767,0.540767,16,1,0.146446,True,0.01,1
cervical,plip,epithelial_identity,215,0.522184,0.522184,16,1,0.190561,True,0.01,1
cervical,plip,immune_activation,215,0.504868,0.504868,16,1,0.228906,True,0.01,1
cervical,plip,oxidative_phosphorylation,215,-0.487491,-0.487491,16,1,0.14739,True,0.01,1
cervical,plip,emt_invasion,215,0.478659,0.478659,16,1,0.160595,True,0.01,1
breast,uni,luminal_estrogen_response,300,-0.586359,-0.586359,16,1,0.276549,True,0.01,1
breast,uni,oxidative_phosphorylation,300,-0.456251,-0.456251,16,1,0.181975,True,0.01,1
breast,uni,collagen_ecm_organization,300,-0.376897,-0.376897,16,1,0.16508,True,0.01,1
breast,uni,t_cell_exhaustion_checkpoint,300,0.39093,0.39093,16,1,0.104856,True,0.01,1
breast,uni,emt_invasion,300,0.303753,0.303753,16,1,0.17334,True,0.01,1
cervical,uni,epithelial_identity,215,-0.527315,-0.527315,16,1,0.12389,True,0.01,1
cervical,uni,oxidative_phosphorylation,215,0.554715,0.554715,16,1,0.136469,True,0.01,1
cervical,uni,stromal_encapsulation,215,-0.614523,-0.614523,16,1,0.128435,True,0.01,1
cervical,uni,immune_exclusion,215,-0.63325,-0.63325,16,1,0.134007,True,0.01,1
cervical,uni,emt_invasion,215,0.533734,0.533734,16,1,0.138684,True,0.01,1
