region_x_bin,region_y_bin,immune_resistance__axis__checkpoint,immune_resistance__axis__myeloid,immune_resistance__axis__vascular,immune_resistance__axis__emt,immune_resistance__model__rna_only,immune_resistance__model__protein_only,immune_resistance__model__joint_activity,immune_resistance__model__discordance_burden,immune_resistance__model__checkpoint_only,immune_resistance__model__myeloid_only,immune_resistance__model__vascular_only,immune_resistance__model__emt_only,immune_resistance__model__joint_minus_checkpoint,immune_resistance__model__joint_minus_myeloid,immune_resistance__model__joint_minus_vascular,immune_resistance__model__joint_minus_emt,immune_resistance__model__myeloid_vascular_branch,immune_resistance__model__epithelial_emt_front_branch,immune_resistance__branch_target__myeloid_vascular,immune_resistance__branch_target__epithelial_emt_front,immune_resistance__held_out__myeloid_vascular,immune_resistance__held_out__epithelial_emt_front,n_cells,region_x_min,region_x_max,region_y_min,region_y_max,region_x_center,region_y_center,branch,role,best_model
7,22,0.008588855,0.04382493,1.0776961,0.22706123,0.09536909,0.5832164,0.33929276,0.8111171,0.008588855,0.04382493,1.0776961,0.22706123,0.44952744,0.43778205,0.09315834,0.3767033,0.3767033,0.09315834,0.21948981,0.043537416,0.045918368,0.21428572,196,3347.3393389383955,3825.3177693684897,5321.660657922426,5563.404791851838,3586.3285541534424,5442.532724887133,myeloid_vascular,resistant_patch,vascular_only
6,21,0.05001355,0.055342276,0.91031814,0.16989724,0.011099715,0.5816859,0.2963928,0.87191105,0.05001355,0.055342276,0.91031814,0.16989724,0.37851924,0.376743,0.09175102,0.338558,0.338558,0.09175102,0.21208446,0.07259659,0.106469005,0.34366578,742,2869.360908508301,3347.3393389383955,5079.916523993015,5321.660657922426,3108.350123723348,5200.788590957721,myeloid_vascular,resistant_patch,vascular_only
8,22,0.14043786,0.026017973,0.91168225,0.27288815,0.031934306,0.6435788,0.33775654,0.90831316,0.14043786,0.026017973,0.91168225,0.27288815,0.40352947,0.44166943,0.14644799,0.35937938,0.35937938,0.14644799,0.19223078,0.04769231,0.0038461538,0.30384615,260,3825.3177693684897,4303.296199798584,5321.660657922426,5563.404791851838,4064.306984583537,5442.532724887133,myeloid_vascular,resistant_patch,vascular_only
16,23,0.112182036,0.14215228,1.2440522,0.31015283,0.2218447,0.6824249,0.4521348,0.7629134,0.112182036,0.14215228,1.2440522,0.31015283,0.5654524,0.5554623,0.18816239,0.49946213,0.49946213,0.18816239,0.19,0.082051285,0.0,0.34615386,26,7649.145212809245,8127.12364323934,5563.404791851838,5805.14892578125,7888.134428024292,5684.276858816544,myeloid_vascular,resistant_patch,vascular_only
8,17,-0.062246203,-0.38491887,0.87274873,0.32644024,-0.05516903,0.43118098,0.18800598,0.7609288,-0.062246203,-0.38491887,0.87274873,0.32644024,0.27142337,0.37898093,-0.04024161,0.14186123,0.14186123,-0.04024161,0.16647483,0.111654684,0.010071943,0.4964029,695,3825.3177693684897,4303.296199798584,4112.939988275369,4354.684122204781,4064.306984583537,4233.812055240074,myeloid_vascular,resistant_patch,vascular_only
9,17,0.012186208,-0.34004408,0.9208589,0.38545677,-0.05031922,0.53954816,0.24461445,0.8393909,0.012186208,-0.34004408,0.9208589,0.38545677,0.32209054,0.43950063,0.019199632,0.19766703,0.19766703,0.019199632,0.16517617,0.08346884,0.0067750677,0.41734418,738,4303.296199798584,4781.274630228679,4112.939988275369,4354.684122204781,4542.285415013632,4233.812055240074,myeloid_vascular,resistant_patch,vascular_only
14,20,0.111602485,0.24833877,0.38886684,0.52078086,0.11879207,0.51600236,0.31739724,0.80601984,0.111602485,0.24833877,0.38886684,0.52078086,0.38599548,0.34041673,0.29357404,0.2496027,0.2496027,0.29357404,0.096378796,0.39575762,0.0045454544,0.91818184,440,6693.188351949057,7171.16678237915,4838.172390063603,5079.916523993015,6932.1775671641035,4959.044457028309,epithelial_emt_front,resistant_patch,emt_only
14,21,0.08620207,0.02180389,0.38502878,0.5962267,0.10382235,0.44080836,0.27231535,0.83212996,0.08620207,0.02180389,0.38502878,0.5962267,0.33435312,0.35581917,0.2347442,0.16434492,0.16434492,0.2347442,0.08865672,0.3432836,0.0024875621,0.9029851,402,6693.188351949057,7171.16678237915,5079.916523993015,5321.660657922426,6932.1775671641035,5200.788590957721,epithelial_emt_front,resistant_patch,emt_only
14,19,0.0018220028,0.1978362,0.21336478,0.50410295,0.12683502,0.33172795,0.22928149,0.7894507,0.0018220028,0.1978362,0.21336478,0.50410295,0.3051013,0.23976322,0.23458704,0.13767433,0.13767433,0.23458704,0.08493334,0.3136667,0.0,0.92,400,6693.188351949057,7171.16678237915,4596.4282561341915,4838.172390063603,6932.1775671641035,4717.300323098898,epithelial_emt_front,resistant_patch,emt_only
14,22,0.09062157,0.0373315,0.52091205,0.47416636,0.11542969,0.44608605,0.28075784,0.81804836,0.09062157,0.0373315,0.52091205,0.47416636,0.34413663,0.3619,0.20070648,0.21628836,0.21628836,0.20070648,0.123419926,0.22943723,0.021645023,0.73593074,462,6693.188351949057,7171.16678237915,5321.660657922426,5563.404791851838,6932.1775671641035,5442.532724887133,epithelial_emt_front,resistant_patch,emt_only
14,17,-0.016013958,-0.013327149,0.37497088,0.55048895,0.095092975,0.35296637,0.22402968,0.74884975,-0.016013958,-0.013327149,0.37497088,0.55048895,0.30404422,0.30314863,0.17371595,0.11520992,0.11520992,0.17371595,0.110631496,0.21486811,0.0,0.8585132,417,6693.188351949057,7171.16678237915,4112.939988275369,4354.684122204781,6932.1775671641035,4233.812055240074,epithelial_emt_front,resistant_patch,emt_only
13,2,0.07520715,0.40003517,-0.36044765,0.67454296,0.13894531,0.25572354,0.19733442,0.69173354,0.07520715,0.40003517,-0.36044765,0.67454296,0.2380435,0.12976749,0.38326177,0.038264897,0.038264897,0.38326177,0.11950062,0.023220975,0.11985019,0.123595506,534,6215.209921518962,6693.188351949057,486.77797933419544,728.522113263607,6454.199136734009,607.6500462989012,epithelial_emt_front,resistant_patch,emt_only
