region_x_bin,region_y_bin,immune_resistance__axis__checkpoint,immune_resistance__axis__myeloid,immune_resistance__axis__vascular,immune_resistance__axis__emt,immune_resistance__model__rna_only,immune_resistance__model__protein_only,immune_resistance__model__joint_activity,immune_resistance__model__discordance_burden,immune_resistance__model__checkpoint_only,immune_resistance__model__myeloid_only,immune_resistance__model__vascular_only,immune_resistance__model__emt_only,immune_resistance__model__joint_minus_checkpoint,immune_resistance__model__joint_minus_myeloid,immune_resistance__model__joint_minus_vascular,immune_resistance__model__joint_minus_emt,immune_resistance__model__myeloid_vascular_branch,immune_resistance__model__epithelial_emt_front_branch,immune_resistance__branch_target__myeloid_vascular,immune_resistance__branch_target__epithelial_emt_front,immune_resistance__held_out__myeloid_vascular,immune_resistance__held_out__epithelial_emt_front,n_cells,region_x_min,region_x_max,region_y_min,region_y_max,region_x_center,region_y_center
0,0,-0.08857374,-0.92216915,-0.20394579,-0.7684295,-0.45396495,-0.53759414,-0.4957795,0.6734962,-0.08857374,-0.92216915,-0.20394579,-0.7684295,-0.63151485,-0.35364968,-0.59305745,-0.40489623,-0.40489623,-0.59305745,0.21581396,0.05271318,0.18604651,0.37209302,43,1.490325927734375,479.4687563578288,3.2897114753723145,245.03384540478388,240.47954114278158,124.1617784400781
0,1,-0.08898523,-0.868884,-0.12246863,-0.712882,-0.43591404,-0.46069586,-0.44830495,0.6766878,-0.08898523,-0.868884,-0.12246863,-0.712882,-0.5680782,-0.30811194,-0.5569171,-0.36011264,-0.36011264,-0.5569171,0.20595388,0.027672956,0.13836478,0.20754717,159,1.490325927734375,479.4687563578288,245.03384540478388,486.77797933419544,240.47954114278158,365.90591236948967
0,2,0.0043633636,-0.5897415,0.024442542,-0.48559564,-0.31159157,-0.21167406,-0.2616328,0.63163316,0.0043633636,-0.5897415,0.024442542,-0.48559564,-0.3502982,-0.15226325,-0.35699126,-0.18697853,-0.18697853,-0.35699126,0.16641231,0.02692104,0.09538951,0.18600954,629,1.490325927734375,479.4687563578288,486.77797933419544,728.522113263607,240.47954114278158,607.6500462989012
0,3,-0.05563573,-0.62848383,0.07062722,-0.66428834,-0.2796557,-0.35923466,-0.31944516,0.6506118,-0.05563573,-0.62848383,0.07062722,-0.66428834,-0.40738165,-0.21643229,-0.4494693,-0.20449744,-0.20449744,-0.4494693,0.20739907,0.007386542,0.25070423,0.054460093,1065,1.490325927734375,479.4687563578288,728.522113263607,970.2662471930186,240.47954114278158,849.3941802283127
0,4,-0.089273185,-0.64448303,0.10965801,-0.5986102,-0.35199142,-0.25936282,-0.30567712,0.66069555,-0.089273185,-0.64448303,0.10965801,-0.5986102,-0.37781173,-0.1927418,-0.44412214,-0.20803274,-0.20803274,-0.44412214,0.20306891,0.017430168,0.22122905,0.11284916,895,1.490325927734375,479.4687563578288,970.2662471930186,1212.01038112243,240.47954114278158,1091.1383141577244
0,5,-0.05382437,-0.58245003,0.05858401,-0.45645905,-0.22226165,-0.29481304,-0.25853735,0.6837664,-0.05382437,-0.58245003,0.05858401,-0.45645905,-0.326775,-0.15056647,-0.36424446,-0.19256344,-0.19256344,-0.36424446,0.1959359,0.099882774,0.13247362,0.39038688,853,1.490325927734375,479.4687563578288,1212.01038112243,1453.7545150518417,240.47954114278158,1332.8824480871358
0,6,-0.09055739,-0.69411576,0.26035246,-0.1395304,-0.15025617,-0.18166937,-0.16596279,0.66031575,-0.09055739,-0.69411576,0.26035246,-0.1395304,-0.19109793,0.010088225,-0.30806786,-0.17477357,-0.17477357,-0.30806786,0.18679546,0.17137197,0.09806835,0.65527487,673,1.490325927734375,479.4687563578288,1453.7545150518417,1695.4986489812532,240.47954114278158,1574.6265820165474
0,7,-0.09079362,-0.4932265,0.11455949,0.082550175,-0.094284296,-0.09917091,-0.09672761,0.6141183,-0.09079362,-0.4932265,0.11455949,0.082550175,-0.098705605,0.035438683,-0.16715664,-0.15648687,-0.15648687,-0.16715664,0.15661256,0.24545456,0.03409091,0.8230519,616,1.490325927734375,479.4687563578288,1695.4986489812532,1937.2427829106648,240.47954114278158,1816.370715945959
0,8,-0.1175449,-0.58482033,0.14499381,-0.04522836,-0.13448484,-0.16681503,-0.15064995,0.6545392,-0.1175449,-0.58482033,0.14499381,-0.04522836,-0.16168496,-0.0059264842,-0.24919784,-0.18579046,-0.18579046,-0.24919784,0.15012196,0.22012196,0.04573171,0.6859756,656,1.490325927734375,479.4687563578288,1937.2427829106648,2178.9869168400764,240.47954114278158,2058.1148498753705
0,9,-0.097339824,-0.7233255,0.16664152,-0.091184355,-0.16866945,-0.20393461,-0.18630204,0.67308587,-0.097339824,-0.7233255,0.16664152,-0.091184355,-0.2159561,-0.0072942213,-0.3039499,-0.21800792,-0.21800792,-0.3039499,0.16548567,0.18476821,0.034768213,0.6903973,604,1.490325927734375,479.4687563578288,2178.9869168400764,2420.731050769488,240.47954114278158,2299.858983804782
