source_name,marker_type,marker,aggregated_value
protein_cluster_contour,rna,VIM,20555652.0
protein_cluster_contour,rna,HLA-DRA,7927879.0
protein_cluster_contour,rna,FCGR3A,1816673.0
protein_cluster_contour,rna,HLA-DRB1,1669862.0
protein_cluster_contour,rna,CXCL6,1345494.0
protein_cluster_contour,rna,PTPRC,780885.0
protein_cluster_contour,rna,VCAN,450586.0
protein_cluster_contour,rna,ACTA2,380418.0
protein_cluster_contour,rna,MS4A1,254456.0
protein_cluster_contour,rna,CXCR4,144844.0
gene_cluster_contour,rna,VIM,18022808.0
gene_cluster_contour,rna,HLA-DRA,7013534.0
gene_cluster_contour,rna,HLA-DRB1,1812325.0
gene_cluster_contour,rna,FCGR3A,1649843.0
gene_cluster_contour,rna,PTPRC,828939.0
gene_cluster_contour,rna,CXCL6,734693.0
gene_cluster_contour,rna,VCAN,407375.0
gene_cluster_contour,rna,ACTA2,357331.0
gene_cluster_contour,rna,MS4A1,200764.0
gene_cluster_contour,rna,CXCR4,138982.0
protein_cluster_contour,protein,Vimentin,257032.53233528137
protein_cluster_contour,protein,CD45,149398.7723236084
protein_cluster_contour,protein,PTEN,124433.09463119507
protein_cluster_contour,protein,CD3E,90129.38055896759
protein_cluster_contour,protein,CD68,80573.19184112549
protein_cluster_contour,protein,HLA-DR,60624.06678915024
protein_cluster_contour,protein,CD163,23340.156911849976
protein_cluster_contour,protein,CD8A,20511.32501602173
protein_cluster_contour,protein,E-Cadherin,14331.218601703644
protein_cluster_contour,protein,CD45RA,12896.342231750488
gene_cluster_contour,protein,Vimentin,185709.75585365295
gene_cluster_contour,protein,CD45,84207.49503803253
gene_cluster_contour,protein,PTEN,79767.8843460083
gene_cluster_contour,protein,CD3E,65332.19479846954
gene_cluster_contour,protein,CD68,31177.638074874878
gene_cluster_contour,protein,CD163,24591.355627059937
gene_cluster_contour,protein,HLA-DR,22046.377096652985
gene_cluster_contour,protein,CD8A,19075.485164642334
gene_cluster_contour,protein,E-Cadherin,13762.982609272003
gene_cluster_contour,protein,CD45RA,6289.240001678467
